名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
百年印象摄影画廊,北京,北京,北京,010,64381784,798/大山子,酒仙桥路4号798艺术区内,景点,展览馆,116.495682,39.984108
东京画廊,北京,北京,北京,010,59784838,798/大山子,酒仙桥路4号北京798艺术区陶瓷三街E02,景点,展览馆,116.495529,39.983459
红门画廊,北京,北京,北京,010,,崇文门,崇文门东大街东便门角楼,景点,美术馆,116.434242,39.901676
北京大学-地质博物馆,北京,北京,北京,010,62756088,颐和园,颐和园路5号北京大学燕园内,景点,博物馆,116.309937,39.991894
中国长城博物馆,北京,北京,延庆区,010,69121890,八达岭,八达岭镇八达岭风景区内,景点,博物馆,116.009995,40.357883
大葆台西汉墓博物馆,北京,北京,北京,010,83612852,世界公园,黄土岗乡郭公庄南,景点,博物馆,116.297859,39.806305
大钟寺古钟博物馆,北京,北京,北京,010,82139050;82132630,双榆树,北三环西路甲31号（联想桥北侧）,景点,陈列馆,116.338181,39.969074
中国第四纪冰川遗迹陈列馆,北京,北京,北京,010,88722585,模式口,模式口大街28号,景点,陈列馆,116.161911,39.937672
北京古代建筑博物馆,北京,北京,北京,010,63172150,虎坊桥,东经路21号,景点,博物馆,116.393181,39.878212
古陶文明博物馆,北京,北京,北京,010,63538811;63538884,右安门,南菜园西街12号,景点,博物馆,116.357301,39.873379
观复博物馆,北京,北京,北京,010,64338887;64337775,金盏,大山子张万坟金南路18号,景点,博物馆,116.534447,40.006893
中华航天博物馆,北京,北京,北京,010,68384455,南苑/德茂桥,南大红门路1号,景点,博物馆,116.414993,39.800461
焦庄户地道战遗址纪念馆,北京,北京,北京,010,60461906,顺义区,焦庄户村38号,景点,纪念馆,116.869809,40.233756
中国人民抗日战争纪念馆,北京,北京,北京,010,63777088;63777188,卢沟桥,卢沟桥宛平城内街101号,景点,纪念馆,116.22595,39.851774
北京鲁迅博物馆,北京,北京,北京,010,50872677,阜成门,阜城门内宫门口二条19号,景点,博物馆,116.358681,39.925705
密云区博物馆,北京,北京,密云区,010,69053677,密云果园,果园街道西门外大街2号,景点,博物馆,116.836227,40.377277
民族文化宫博物馆,北京,北京,北京,010,83195280,西单,复兴门内大街49号,景点,博物馆,116.369018,39.908098
奇石馆,北京,北京,北京,010,62048190,安定门,安德路102号,景点,陈列馆,116.391937,39.951271
北京大学赛克勒考古与艺术博物馆,北京,北京,北京,010,62759784,颐和园,颐和园路5号北京大学内,景点,博物馆,116.305923,39.995632
北京石刻艺术博物馆,北京,北京,北京,010,62173543;62174709,魏公村,五塔寺路24号,景点,博物馆,116.330368,39.944729
首都博物馆,北京,北京,北京,010,63370491,复兴门,复兴门外大街16号,景点,博物馆,116.342064,39.90641
北京天文馆,北京,北京,北京,010,68312517;68352453,西直门/动物园,西直门外大街138号,景点,天文馆,116.336815,39.937286
通州博物馆,北京,北京,北京,010,69555161,新华大街,西大街9号,景点,博物馆,116.667412,39.908138
王府井古人类文化遗址博物馆,北京,北京,北京,010,85186306,王府井/东单,东长安街1号东方广场东方新天地内,景点,博物馆,116.412539,39.908995
北京鲁迅博物馆,北京,北京,北京,010,52208928,王府井/东单,五四大街29号,景点,纪念馆,116.405319,39.924675
炎黄艺术馆,北京,北京,北京,010,64912902,亚运村,亚运村慧忠路9号,景点,美术馆,116.40873,39.995671
北京周口店北京人遗址博物馆,北京,北京,北京,010,69301278;53230037,房山区,周口店镇周口店大街1号,景点,博物馆,115.929718,39.690098
中国地质博物馆,北京,北京,北京,010,66557858,西四,西四羊肉胡同15号,景点,博物馆,116.371696,39.923435
中国古动物馆,北京,北京,北京,010,88369280;88369210,西直门/动物园,西直门外大街142号,景点,博物馆,116.334015,39.937611
中国国家博物馆,北京,北京,北京,010,65116400,王府井/东单,东长安街16号（天安门广场东侧）,景点,博物馆,116.401657,39.905128
中国航空博物馆,北京,北京,北京,010,66916919;61784882,小汤山镇,小汤山镇顺沙路中国航空博物馆,景点,博物馆,116.366096,40.185322
蜜蜂博物馆,北京,北京,北京,010,62595735,香山/植物园,香山北京植物园内卧佛寺西侧,景点,博物馆,116.20591,40.00684
中国人民革命军事博物馆,北京,北京,北京,010,66866244;66866248,公主坟/万寿路,复兴路9号,景点,博物馆,116.323879,39.909115
中国现代文学馆,北京,北京,北京,010,57311800,对外经贸,文学馆路45号,景点,陈列馆,116.430016,39.984715
中国印刷博物馆,北京,北京,北京,010,60261243,黄村,兴华大街2段1号,景点,博物馆,116.331467,39.743477
中华民族博物院,北京,北京,北京,010,62063646;62063647,亚运村,民族园路1号,景点,博物馆,116.391808,39.982159
中央民族大学民族博物馆,北京,北京,北京,010,68933341,魏公村,中关村南大街27号,景点,博物馆,116.318008,39.949032
北京自然博物馆,北京,北京,北京,010,67027702,天坛,天桥南大街126号,景点,博物馆,116.399834,39.883183
响潭水库,北京,北京,北京,010,,南口镇,南口镇,景点,现代建筑,116.103432,40.247326
