名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
凤凰假期旅游有限公司,江苏,南京,南京,025,84720228;84720398,新街口地区,汉中路112号金轮大厦汇贤楼2楼,景点,旅行社,118.778483,32.042793
大华国际旅行社,江苏,南京,南京,025,4001109966,山西路/湖南路,中山北路8号绿地广场云峰大厦,景点,旅行社,118.783516,32.058823
五台国旅,江苏,南京,南京,025,83327506,南大/南师大,上海路南东瓜市1号,景点,旅行社,118.775862,32.050742
南京地质博物馆,江苏,南京,南京,025,51816587;84813754,珠江路沿线,珠江路700号,景点,博物馆,118.807343,32.044628
将军山旅游风景区,江苏,南京,南京,025,52894496,开发区,宁丹路与佛城西路交叉口东北1000米,景点,自然风光,118.768127,31.929544
菊花台公园,江苏,南京,南京,025,52890685,安德门/小行,安德门大街6号,景点,城市公园,118.757431,31.982067
龙泉禅寺,江苏,南京,南京,025,,开发区,铁心桥龙泉寺1号,景点,宗教,118.764847,31.926889
雨花台风景区,江苏,南京,南京,025,68783033,秦虹村/中华门,雨花路215号,景点,自然景观,118.781883,31.998032
明故宫遗址公园,江苏,南京,南京,025,84807135,珠江路沿线,中山东路311号,景点,古代遗迹,118.817986,32.041466
煦园,江苏,南京,南京,025,84578888,新街口地区,长江路292号南京中国近代史遗址博物馆（总统府）内,景点,园林,118.797066,32.043606
南京中国近代史遗址博物馆,江苏,南京,南京,025,84578716;84578888,新街口地区,梅园新村街道长江路292号,景点,博物馆,118.797684,32.042877
南京古林公园,江苏,南京,南京,025,83700646,南京艺术学院/龙江,虎踞北路21号,景点,纪念公园,118.753372,32.066891
伯乐园,江苏,南京,南京,025,,和燕路,新联新村2号,景点,城市公园,118.819687,32.128155
二桥公园,江苏,南京,南京,025,58028888,栖霞区,太新路101号,景点,城市公园,118.846764,32.153633
南京市红山森林动物园,江苏,南京,南京,025,85628548,红山动物园/火车站,和燕路168号,景点,动物园,118.802994,32.091908
燕子矶公园,江苏,南京,南京,025,85311337,和燕路,临江街3号,景点,公园/广场,118.817184,32.146767
江浦公园,江苏,南京,南京,025,,江浦,码头街与新马路交叉口北,景点,公园/广场,118.622108,32.062267
龙王山风景区,江苏,南京,南京,025,58735094,南京信息工程大学,龙山北路,景点,自然风光,118.709122,32.191704
浦口公园,江苏,南京,南京,025,,浦口区,宁港路与浦园路交叉口,景点,城市公园,118.719704,32.102127
泰山寺,江苏,南京,南京,025,58841072,浦口区,浦口泰西路24号,景点,宗教,118.709511,32.143776
南京珍珠泉风景区,江苏,南京,南京,025,58601545,浦口区,珍珠街182号,景点,自然风光,118.660812,32.127022
狮子山景区,江苏,南京,南京,025,58815369;58590298,建宁路,下关街道建宁路202号,景点,自然风光,118.752701,32.092918
大钟亭公园,江苏,南京,南京,025,57713865,南大/南师大,大钟亭1号,景点,公园/广场,118.784676,32.060425
鼓楼公园,江苏,南京,南京,025,86635513;8663466,紫峰购物广场,北京西路1-2号,景点,城市公园,118.782021,32.058701
汉中门市民广场,江苏,南京,南京,025,,南大/南师大,汉口路,景点,广场,118.767403,32.041645
南师大珍稀动物标本博物馆,江苏,南京,南京,025,,南大/南师大,宁海路南师大校内,景点,博物馆,118.767616,32.052761
赛珍珠故居,江苏,南京,南京,025,,南大/南师大,汉口路22号南京大学鼓楼校区,景点,名人故居,118.778313,32.055199
乌龙潭公园,江苏,南京,南京,025,83714809,南大/南师大,广州路215号,景点,城市公园,118.766487,32.04583
南湖公园,江苏,南京,南京,025,57566628,莫愁湖/水西门,莫愁湖街道南湖东路与彩虹苑路交叉口,景点,自然风光,118.76265,32.028103
白马杨树山宝鼎寺,江苏,南京,溧水区,025,57253682,溧水区,白马石头寨傅家塘水库旁,景点,宗教,119.160189,31.506432
