名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
长海县海滨浴场,辽宁,大连,大连,0411,,金石滩旅游度假区,海滨西路18号大连金石国际会议中心内,景点,海滨沙滩,121.980461,39.061234
仙女湖,辽宁,大连,长海县,0411,,长海县其他,广鹿岛的老铁山入海口,景点,自然风光,122.336342,39.150852
广鹿岛景区,辽宁,大连,长海县,0411,159****8372,长海县其他,黄海北部外长山群岛的西部,景点,自然风光,122.355621,39.181908
小长山岛景区,辽宁,大连,长海县,0411,,长海县其他,小长山乡小长山岛风景区,景点,自然风光,122.690086,39.238617
永丰寺,辽宁,大连,瓦房店市,0411,85102511,瓦房店市其他,复州城镇复大线,景点,宗教,121.717751,39.7327
十里岗公园,辽宁,大连,大连,0411,,开发区,嫩江路,景点,公园/广场,121.764005,39.065626
吴姑城清泉寺,辽宁,大连,普兰店区,0411,,古城,孛兰路南段,景点,宗教,121.97274,39.404976
吴姑古城,辽宁,大连,普兰店区,0411,84339970,普兰店区其他,星台街道吴姑古城（清和线西50米）,景点,古村古镇,122.31073,39.634186
童牛岭风景区,辽宁,大连,大连,0411,87537118,开发区,马桥子街道梧桐街8号,景点,自然风光,121.786789,39.03476
大连长兴岛公园,辽宁,大连,瓦房店市,0411,,瓦房店市其他,长兴岛镇滨海路,景点,公园/广场,121.454872,39.620731
仙浴湾,辽宁,大连,瓦房店市,0411,85125555,瓦房店市其他,西部滨海区的胜利乡望海村,景点,自然风光,121.495087,39.718887
长兴岛,辽宁,大连,瓦房店市,0411,,瓦房店市其他,西侧,景点,自然风光,121.523483,39.600182
仙浴湾浴场,辽宁,大连,瓦房店市,0411,,瓦房店市其他,仙浴湾镇仙浴湾广场（唐大线西50米）,景点,自然风光,121.531075,39.702911
龙门温泉旅游度假区,辽宁,大连,瓦房店市,0411,85358100;189****7333,瓦房店市其他,许屯镇腰屯村197号,景点,温泉,122.148674,40.020061
傅家庄公园,辽宁,大连,大连,0411,82400574,八一路沿线,滨海西路53号,景点,公园/广场,121.623489,38.8652
东山公园,辽宁,大连,瓦房店市,0411,,瓦房店市其他,铁东办事处公园路高尔夫俱乐部旁,景点,公园/广场,122.015236,39.618549
甘井子公园,辽宁,大连,大连,0411,86672659,老甘井子,东方路,景点,公园/广场,121.618454,38.975281
夏家河子公园,辽宁,大连,大连,0411,86567891,甘井子区,革镇堡街道夏家河子村,景点,公园/广场,121.508186,39.029835
金家街公园,辽宁,大连,大连,0411,86603142,甘井子区,金家街紫金枫尚对面,景点,公园/广场,121.594955,38.970165
泽龙湖公园,辽宁,大连,大连,0411,,周水子国际机场,泡崖街道松江路附近,景点,公园/广场,121.541855,38.969635
星海公园,辽宁,大连,大连,0411,81890116,星海公园,中山路638号,景点,城市公园,121.568077,38.877811
营城子壁画墓,辽宁,大连,大连,0411,,甘井子区,旅顺北路,景点,古代遗迹,121.419401,38.995685
林海滑雪场,辽宁,大连,大连,0411,86709999;86708778,甘井子区,营城子镇南沟村,景点,滑雪场,121.430673,38.948623
胜水寺,辽宁,大连,大连,0411,,开发区,凤祥路与杏林西街交叉口北1000米,景点,宗教,121.807564,39.114244
响水观,辽宁,大连,大连,0411,,金州区,大黑山西北麓,景点,宗教,121.776573,39.112125
大黑山风景区,辽宁,大连,大连,0411,87777055,开发区,凤祥路与杏林西街交叉口北1000米,景点,自然风光,121.791992,39.104355
向应公园,辽宁,大连,大连,0411,,金州,迎湖街与香水路交汇处,景点,公园/广场,121.721115,39.102116
大连森林动物园,辽宁,大连,大连,0411,82476998,付家庄滨海路商圈,滨海西路79号,景点,动物园,121.613235,38.882908
苏军烈士陵园,辽宁,大连,大连,0411,86359228,旅顺,水师营街道五一路西一巷92号,景点,烈士陵园,121.244675,38.830742
旅顺口景区,辽宁,大连,大连,0411,86622735,旅顺,黄河路651号,景点,城市公园,121.258316,38.803967
清南子弹库,辽宁,大连,大连,0411,,旅顺,黄金山海水浴场南模珠礁西海岸边,景点,人文古迹,121.27951,38.795731
金石缘公园,辽宁,大连,大连,0411,87903563,金石滩旅游度假区,陈家村金石滩旅游度假区,景点,城市公园,122.025284,39.085224
黄金山浴场,辽宁,大连,大连,0411,,旅顺,得胜街道旅顺港口东部,景点,海滨沙滩,121.277649,38.793697
大西山水库,辽宁,大连,大连,0411,,甘井子区,红旗街道旅顺中路,景点,现代建筑,121.508011,38.929447
水师营会见所旧址,辽宁,大连,大连,0411,86233509,旅顺,水师营会见所,景点,古代遗迹,121.244019,38.853806
蟠龙寺,辽宁,大连,大连,0411,86236900,旅顺,水师营镇,景点,宗教,121.267349,38.875275
龙引泉森林园,辽宁,大连,大连,0411,,旅顺,水师营镇三八里村,景点,森林公园,121.264679,38.833187
中苏友谊塔,辽宁,大连,大连,0411,180****0867,旅顺,万乐路旅顺博物馆前的广场中心,景点,历史建筑,121.234283,38.809383
黑石礁公园,辽宁,大连,大连,0411,,黑石礁,黑石礁街52号,景点,公园/广场,121.558937,38.869587
富国公园,辽宁,大连,大连,0411,,星海公园,连山街富国公园,景点,公园/广场,121.574799,38.891399
中山公园,辽宁,大连,大连,0411,84603283,西安路沿线,联合路62号,景点,公园/广场,121.600807,38.912952
大连圣亚海洋世界,辽宁,大连,大连,0411,84581113;84581610,星海湾/星海广场,中山路608-6-8号,景点,海洋馆,121.570641,38.878109
星海湾海水浴场,辽宁,大连,大连,0411,188****1187,星海湾/星海广场,星海广场c3区33号星海湾1号项目部,景点,海滨沙滩,121.585205,38.877178
大连科技馆,辽宁,大连,大连,0411,83640639;83675175,奥林匹克广场,长白街3号,景点,科技馆,121.614113,38.900829
万忠墓,辽宁,大连,大连,0411,86612924,旅顺,得胜街道九三路23号,景点,古代遗迹,121.2612,38.817226
大连老虎滩海洋公园,辽宁,大连,大连,0411,82689356;82399409,老虎滩,滨海中路9号,景点,主题乐园,121.675774,38.871864
中山儿童公园,辽宁,大连,大连,0411,,二七广场,风景街,景点,公园/广场,121.653641,38.915661
港湾广场,辽宁,大连,大连,0411,,港湾广场,港湾街与长江路交叉口,景点,步行街,121.660835,38.923794
基督教教堂,辽宁,大连,大连,0411,,二七广场,华乐街48号,景点,宗教,121.679456,38.916764
