名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
原山西省博物馆,山西,太原,太原,0351,2029436,柳巷商业区,起凤街与五一广场交叉口西120米路北,景点,博物馆,112.571701,37.861698
卧虎山公园,山西,太原,太原,0351,3074066,动物园,涧河路,景点,公园/广场,112.574142,37.907372
迎泽公园,山西,太原,太原,0351,2022622,迎泽大街,迎泽大街218号,景点,城市公园,112.56134,37.853542
白云寺,山西,太原,太原,0351,7181555,迎泽区,郝庄镇南十方街45号,景点,宗教,112.595436,37.834381
迎泽观音庙,山西,太原,太原,0351,,柳巷商业区,水西关东街北200米,景点,宗教,112.557648,37.865749
太山龙泉寺,山西,太原,太原,0351,6779658,蒙山大佛景区,晋源街道太古路太山景区风峪沟沙河北岸,景点,宗教,112.442589,37.751068
董寿平美术馆,山西,太原,太原,0351,6020730,晋祠公园,晋祠博物馆晋溪书院东侧,景点,美术馆,112.441872,37.708118
文庙,山西,太原,太原,0351,,柳巷商业区,文庙巷3号,景点,宗教,112.579689,37.865494
崛围山,山西,太原,太原,0351,4030140,尖草坪区,市区西北汾河西岸呼延村附近,景点,自然风光,112.444656,37.967026
学府公园,山西,太原,太原,0351,,高新科技产业区,学府街中段,景点,公园/广场,112.572693,37.809975
蒙山大佛景区,山西,太原,太原,0351,6159898;6862502,蒙山大佛景区,罗城街道寺底村,景点,宗教,112.447067,37.780666
山西省工艺美术馆,山西,太原,太原,0351,4042375,桃园路,迎泽大街328号,景点,美术馆,112.546867,37.858364
东湖醋园,山西,太原,太原,0351,4424648;5626445,杏花岭区,马道坡26号,景点,陈列馆,112.595993,37.87862
太原动物园,山西,太原,太原,0351,3074953,动物园,东山马路2号,景点,动物园,112.585876,37.910946
晋商博物院,山西,太原,太原,0351,5223262,解放路,府东街101号,景点,博物馆,112.562653,37.874081
龙潭公园,山西,太原,太原,0351,5278589,万达/龙潭商业中心,城坊街28号,景点,公园/广场,112.553856,37.882351
