名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
宁波服装博物馆,浙江,宁波,宁波,0574,87321028;87196099,鄞州区,蓝海巷80号,景点,博物馆,121.580403,29.810051
陈寿昌烈士纪念馆,浙江,宁波,镇海区,0574,86264834,城关,聪园路595号,景点,纪念馆,121.704094,29.957947
宁波茶文化博物院,浙江,宁波,宁波,0574,87329525,月湖盛园,花果园巷1号月园,景点,博物馆,121.543205,29.866137
慈溪市博物馆,浙江,宁波,慈溪,0574,63106729,文化商务区,白沙路街道科技路909号,景点,博物馆,121.278923,30.20056
天一阁博物院,浙江,宁波,宁波,0574,87293856,月湖盛园,天一街10号,景点,博物馆,121.539688,29.871073
象山县革命烈士纪念馆,浙江,宁波,象山,0574,65715532,象山县政府,后堂街,景点,纪念馆,121.869362,29.477922
镇海口海防历史纪念馆,浙江,宁波,镇海区,0574,86254768;86255760,城关,招宝山街道沿江东路198号（近镇海甬江入海口）,景点,纪念馆,121.725494,29.958054
河姆渡遗址博物馆,浙江,宁波,余姚,0574,62963732,余姚市其他,河姆渡镇卢山寺村,景点,博物馆,121.349434,29.962133
余姚博物馆,浙江,宁波,余姚,0574,62627070,余姚博物馆,舜水南路1号,景点,博物馆,121.150688,30.047779
海曙革命烈士纪念馆,浙江,宁波,宁波,0574,88476427,海曙区,章水樟村,景点,纪念馆,121.299965,29.816505
北仑博物馆,浙江,宁波,宁波,0574,,明州路沿线,新碶街道中河路37号,景点,博物馆,121.840561,29.91098
龙山公园,浙江,宁波,余姚,0574,,龙山公园,阳明街道南滨江路与大黄桥路交叉口西北150米,景点,公园/广场,121.153214,30.047346
大步公园,浙江,宁波,宁波,0574,,彩虹广场,大步街48号,景点,公园/广场,121.564896,29.863895
樱花公园,浙江,宁波,宁波,0574,,彩虹广场,东胜街道中山东路792号,景点,公园/广场,121.580086,29.865149
宁波野生动物园,浙江,宁波,宁波,0574,88378378,东钱湖,东钱湖旅游度假区,景点,动物园,121.673615,29.803736
梁祝文化园,浙江,宁波,宁波,0574,88447238,梁祝文化小镇,高桥镇梁祝村梁祝路1号,景点,文化公园,121.485298,29.90789
海曙公园,浙江,宁波,宁波,0574,,鼓楼,西门街道高塘路1-2号,景点,公园/广场,121.542778,29.88295
慈溪人民公园,浙江,宁波,慈溪,0574,,新城大道,慈溪市政府南150米,景点,城市公园,121.265999,30.168203
寿昌公园,浙江,宁波,镇海区,0574,,城关,聪园路与吉庆路交口,景点,公园/广场,121.7043,29.957909
杉杉公园,浙江,宁波,宁波,0574,,江夏桥东,江东北路与荷池路交叉口西50米,景点,公园/广场,121.56234,29.872978
江厦公园,浙江,宁波,宁波,0574,,天一广场,东渡路与江夏街交口旁,景点,公园/广场,121.559486,29.868416
明楼公园,浙江,宁波,宁波,0574,87782523,体育中心,中兴街与民安路交叉口东150米,景点,公园/广场,121.585373,29.87674
小山公园,浙江,宁波,宁波,0574,,明州路沿线,明州路与辽河路交口,景点,公园/广场,121.855576,29.906626
镇海人民公园,浙江,宁波,镇海区,0574,88855592,城关,南大街与鼓楼西路交口文化广场,景点,城市公园,121.717972,29.951551
白沙公园,浙江,宁波,宁波,0574,,老外滩,人民路,景点,公园/广场,121.566262,29.887359
江北公园,浙江,宁波,宁波,0574,,来福士广场,桃渡路239号,景点,公园/广场,121.557678,29.880037
