名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
陈树人纪念馆,广东,广州,广州,020,87782436,中山二三路/东山口,署前路10号,景点,纪念馆,113.295311,23.122904
高剑父纪念馆,广东,广州,广州,020,81364905;138****1108,火车站/人民北路,盘福路朱紫街87号,景点,纪念馆,113.261337,23.136648
中青旅广州国际旅行社,广东,广州,广州,020,84232658,江南西,江南西路紫玉大街7号1楼,景点,旅行社,113.267213,23.093946
西汉南越王博物馆,广东,广州,广州,020,36182920,火车站/人民北路,解放北路867号,景点,博物馆,113.261017,23.137814
陈家祠广场,广东,广州,广州,020,81819653,中山七八路,中山七路恩龙里34号,景点,广场,113.24527,23.126013
广东科学馆,广东,广州,广州,020,39348080;28328305,北京路商业区,连新路171号,景点,陈列馆,113.262901,23.133289
广东省工艺美术珍品馆,广东,广州,广州,020,31952937,琶洲,新港东路2519号,景点,美术馆,113.40097,23.093704
广州博物馆,广东,广州,广州,020,83545253;83550627,东风中路/越秀公园,镇海路99号,景点,博物馆,113.266853,23.137623
广州动物园,广东,广州,广州,020,38377572,环市东路/区庄,先烈中路120号,景点,动物园,113.305367,23.140829
番禺大夫山森林公园,广东,广州,广州,020,34811381,钟村,禺山西路668号,景点,森林公园,113.308907,22.950661
东山湖公园,广东,广州,广州,020,87775672;87609086,沿江路/二沙岛,东湖路123号,景点,城市公园,113.292198,23.11507
荔湾湖公园,广东,广州,广州,020,81968601,中山七八路,昌华街道龙津西路155号,景点,城市公园,113.23333,23.121004
广州市流溪河国家森林公园,广东,广州,从化区,020,87844691;87843288,良口镇,良口镇流溪香雪大街105国道旁,景点,森林公园,113.782532,23.748215
人民公园,广东,广州,广州,020,,北京路商业区,连新路2号,景点,城市公园,113.264381,23.127102
石门国家森林公园,广东,广州,从化区,020,87850738,白水寨/派潭,温泉镇石门国家森林公园,景点,森林公园,113.786926,23.626333
广州市越秀公园,广东,广州,广州,020,86661950,东风中路/越秀公园,解放北路988号,景点,城市公园,113.263855,23.140207
珠江公园,广东,广州,广州,020,38858081,兴盛路/跑马场,金穗路900号,景点,城市公园,113.339005,23.120045
怀圣寺,广东,广州,广州,020,83333593,中山六路,光塔路56号,景点,宗教,113.259041,23.122866
光孝寺,广东,广州,广州,020,81088867,中山六路,光孝路109号,景点,宗教,113.25666,23.129211
六榕寺,广东,广州,广州,020,83392843,中山六路,六榕路87号,景点,宗教,113.260178,23.127842
眉山圣地,广东,广州,广州,020,,市桥,市桥街道黄编村大北路雅马哈电动车东100米,景点,宗教,113.371101,22.949238
南海神庙,广东,广州,广州,020,82222210,生活区/南岗,庙头村旭日街22号,景点,宗教,113.498079,23.080251
大元帅府纪念馆,广东,广州,广州,020,89012366;89012802,滨江路沿线,纺织路东沙街18号,景点,纪念馆,113.279213,23.110031
黄埔军校旧址纪念馆,广东,广州,广州,020,82201082;82201583,长洲岛,长洲街道军校路170号大院,景点,纪念馆,113.424751,23.086143
聚龙古村,广东,广州,广州,020,185****4033,芳村,芳村大冲口杏花大街,景点,古村古镇,113.240646,23.088139
农讲所旧址,广东,广州,广州,020,83333936,北京路商业区,中山四路42号（近地铁农讲所站西出口）,景点,革命旧址,113.276703,23.127094
宝墨园景区,广东,广州,广州,020,84746666,沙湾镇,紫坭村东安路,景点,园林,113.294289,22.894451
北回归线标志,广东,广州,从化区,020,,太平镇/太平商业街,广从南路北回归线公园,景点,现代建筑,113.487679,23.43932
天河飘绢,广东,广州,广州,020,81309810,天河北/广州东站,火车东站广场,景点,现代建筑,113.324715,23.146627
五仙观,广东,广州,广州,020,83323508,中山六路,惠福西路233号,景点,博物馆,113.259911,23.120649
余荫山房,广东,广州,广州,020,34822187,长隆/南村,南村镇北大街,景点,园林,113.395668,23.011353
广州长隆野生动物世界,广东,广州,广州,020,4008830083,长隆/南村,长隆度假区内,景点,野生动物园,113.315224,23.002363
洪秀全故居,广东,广州,广州,020,36966779;36861225,花都区,秀全街道如意街附近,景点,名人故居,113.172887,23.417059
白云山风景名胜区,广东,广州,广州,020,37222222,白云大道沿线,广园中路801号,景点,自然风光,113.279358,23.181887
芙蓉嶂风景区,广东,广州,广州,020,34354303,花都区,狮岭镇芙滨路,景点,自然风光,113.235611,23.503279
航天奇观,广东,广州,广州,020,,车陂/东圃,东圃大观路,景点,科技观光,113.408775,23.149334
广州番禺莲花山旅游区,广东,广州,广州,020,84861599;84861298,石楼,西门路18号,景点,自然风光,113.502617,22.986973
帽峰山景区,广东,广州,广州,020,87464696,太和镇,太和镇高屋村,景点,自然风光,113.462677,23.302616
沙面人才休闲岛,广东,广州,广州,020,81218288,沙面,沙面大街与沙面三街交叉口西南角,景点,步行街,113.244675,23.106758
云台花园,广东,广州,广州,020,37222222;66612888,麓湖公园,广园东路白云索道侧,景点,植物园,113.294426,23.155542
中国科学院华南植物园,广东,广州,广州,020,85232037,龙洞/岑村,天源路1190号,景点,植物园,113.36718,23.181938
广州长隆欢乐世界,广东,广州,广州,020,4008830083,长隆/南村,汉溪大道299号,景点,主题乐园,113.329819,22.998957
海珠博物馆,广东,广州,广州,020,34384021,江南大道沿线,宝岗大道中龙涎里2号之邓氏宗祠,景点,博物馆,113.260406,23.101048
中华全国总工会旧址纪念馆,广东,广州,广州,020,83832587,北京路商业区,越秀南路89号,景点,纪念馆,113.277914,23.119213
杨桃公园,广东,广州,广州,020,82564052,车陂/东圃,东圃镇前进村宦溪（近桃园中路）,景点,公园/广场,113.414009,23.112431
花都人民公园,广东,广州,广州,020,36981728,花都广场/区政府,公益大道东,景点,城市公园,113.22036,23.40807
晓港公园,广东,广州,广州,020,84474574,江南大道沿线,前进路146号,景点,城市公园,113.280708,23.096636
天河公园,广东,广州,广州,020,85525020,天河公园/上社,天园街道黄埔大道员村段,景点,城市公园,113.366241,23.128296
凤凰山森林公园,广东,广州,广州,020,,龙洞/岑村,渔沙坦村,景点,森林公园,113.389214,23.218857
百万葵园,广东,广州,南沙区,020,84956860;84956863,百万葵园/十九涌,万顷沙镇新垦15涌,景点,植物园,113.620102,22.628181
广州长隆国际大马戏,广东,广州,广州,020,4008830083,长隆/南村,汉溪大道西广州长隆旅游度假区内,景点,旅游项目/观光项目,113.331409,23.003339
东风公园,广东,广州,广州,020,37597320,越秀区,广州大道北199号,景点,公园/广场,113.31324,23.142658
中山大学北门广场,广东,广州,广州,020,,滨江路沿线,滨江东路,景点,广场,113.299644,23.103071
洲头咀公园,广东,广州,广州,020,,滨江路沿线,滨江西路,景点,城市公园,113.24585,23.101816
庄头公园,广东,广州,广州,020,,工业大道沿线,工业大道中,景点,城市公园,113.264557,23.079996
琶洲塔,广东,广州,广州,020,34310734,琶洲,琶洲街道新港东路新窖镇琶洲村,景点,历史建筑,113.375526,23.10129
曹崇恩雕塑园,广东,广州,广州,020,,海珠区,小洲东路203号,景点,公园/广场,113.363644,23.059394
赤岗塔,广东,广州,广州,020,,客村/赤岗,赤岗新市头村,景点,历史建筑,113.323429,23.101276
邓世昌纪念馆,广东,广州,广州,020,84391036;34384021,江南大道沿线,宝岗大道中龙涎里2号之邓氏宗祠,景点,纪念馆,113.260452,23.1012
南越王宫博物馆,广东,广州,广州,020,83896501,北京路商业区,中山四路316号,景点,博物馆,113.269814,23.126797
滴水岩森林公园,广东,广州,广州,020,84733636,沙湾镇,沙湾街道北村桃园路,景点,森林公园,113.315475,22.907301
广州兰圃,广东,广州,广州,020,86666199;86677255,火车站/人民北路,解放北路901号,景点,植物园,113.260468,23.143723
广州文化公园,广东,广州,广州,020,81290585,康王路,西堤二马路37号,景点,文化公园,113.251526,23.109844
青年公园,广东,广州,广州,020,81729177;81819021,西村/西场,南岸路5号,景点,公园/广场,113.228523,23.126587
南沙天后宫,广东,广州,南沙区,020,84981223,南沙区,天后路88号,景点,历史建筑,113.618454,22.756243
海印公园,广东,广州,广州,020,34298885;34298885,滨江路沿线,滨江东路498号,景点,城市公园,113.287933,23.106382
二沙岛,广东,广州,广州,020,,沿江路/二沙岛,广州大桥和海印大桥之间（近东山湖公园）,景点,自然风光,113.30571,23.10972
岭南会展览馆,广东,广州,广州,020,87353209;87351210,沿江路/二沙岛,白云街道二沙岛晴波路13号（近新荔枝湾）,景点,展览馆,113.303024,23.108065
七星岗公园,广东,广州,广州,020,,长隆/南村,南村镇市新公路与南村东线路交汇处西南角,景点,公园/广场,113.394432,22.994759
醉观公园,广东,广州,广州,020,81589510,芳村,芳村大道中275号,景点,城市公园,113.231239,23.099348
广州三元宫,广东,广州,广州,020,83551548,东风中路/越秀公园,洪桥街道应元路11号（中山纪念堂附近）,景点,宗教,113.263252,23.13492
无着庵,广东,广州,广州,020,3245103,北京路商业区,德政中路丽水坊50号,景点,宗教,113.276171,23.121641
海幢寺,广东,广州,广州,020,84399172;34376882,滨江路沿线,南华中路188号,景点,宗教,113.259148,23.105286
药洲遗址,广东,广州,广州,020,83352871,北京路商业区,教育路86号,景点,古代遗迹,113.265915,23.123585
西来初地,广东,广州,广州,020,,上下九商业区,西关下九路北侧西来正街,景点,步行街,113.247139,23.115412
南沙大角山海滨公园,广东,广州,南沙区,020,,南沙区,大角一路与滨海大道交叉口东北角,景点,城市公园,113.619225,22.74996
西城门瓮城遗址,广东,广州,广州,020,158****2123,中山七八路,中山七路与人民中路交汇处西城门瓮城遗址,景点,古代遗迹,113.254112,23.124857
清真先贤古墓,广东,广州,广州,020,86692743,火车站/人民北路,解放北路901号,景点,古代遗迹,113.259552,23.142281
东征阵亡烈士墓,广东,广州,广州,020,,长洲岛,东郊黄埔长洲岛万松岭,景点,烈士陵园,113.417038,23.083811
十九路军淞沪抗日阵亡将士陵园,广东,广州,广州,020,87047408,沙河/天平架/梅花园,水荫路113号,景点,烈士陵园,113.3097,23.144705
回教三忠墓,广东,广州,广州,020,,火车站/人民北路,解放北路清真先贤古墓东侧,景点,古代遗迹,113.260223,23.142319
南越国水闸遗址,广东,广州,广州,020,83323818,北京路商业区,西湖路63号光明广场负1楼,景点,古代遗迹,113.267326,23.12224
黄花岗起义指挥部旧址纪念馆,广东,广州,广州,020,83337700,北京路商业区,越华路小东营5号,景点,纪念馆,113.269991,23.129441
留耕堂,广东,广州,广州,020,84736168,市桥南,沙湾古镇景区内,景点,宗教,113.333704,22.904374
中共三大会址纪念馆,广东,广州,广州,020,87606531,中山二三路/东山口,恤孤院路3号,景点,纪念馆,113.296074,23.118942
长隆欢乐世界+长隆野生动物园（解放北路店）,广东,广州,广州,020,4008830083,长隆/南村,大石镇长隆旅游度假村内,景点,旅行社,113.334363,23.005701
广东中旅,广东,广州,广州,020,4008840011,沿江路/二沙岛,回龙路2号7楼电子资讯中心,景点,旅行社,113.267563,23.115147
华南农业大学-树木园,广东,广州,广州,020,,燕岭/五山,五山街五山路483号华南农业大学内汇景北路,景点,植物园,113.359918,23.153568
广之旅,广东,广州,广州,020,34268676,江南大道沿线,宝岗大道110号铺首层四铺,景点,旅行社,113.261284,23.102834
广之旅,广东,广州,广州,020,81336833,中山七八路,康王中路600号新光城市广场首层127、128号铺,景点,旅行社,113.248147,23.123907
广之旅,广东,广州,广州,020,82322363,车陂/东圃,中山大道268天河广场,景点,旅行社,113.403302,23.122014
广之旅国际旅行社,广东,广州,广州,020,87654733,区庄/动物园,东风东路828-836号东峻广场1楼01号,景点,旅行社,113.307004,23.131544
广之旅,广东,广州,广州,020,84592228,洛溪,大石镇洛溪新城105国道华进明苑43号商铺,景点,旅行社,113.305435,23.042032
