名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
锦里小吃一条街,四川,成都,成都,028,66311313;85538914,武侯祠,浆洗街街道武侯祠大街231号附1号,景点,夜市,104.050293,30.644896
百花潭公园,四川,成都,成都,028,87014534;87035890,青羊宫,一环路西二段175号,景点,城市公园,104.043655,30.656116
成都大熊猫繁育研究基地,四川,成都,成都,028,83510033;83516748,熊猫基地,熊猫大道1375号,景点,动物园,104.144173,30.737209
成都动物园,四川,成都,成都,028,83516651,驷马桥/动物园,昭觉寺南路234号,景点,动物园,104.105919,30.71011
成都杜甫草堂博物馆,四川,成都,成都,028,87077705;87319258,杜甫草堂,青华路37号,景点,名人故居,104.028595,30.660128
古大圣慈寺,四川,成都,成都,028,86658341,大慈寺,大慈寺路23号,景点,宗教,104.083755,30.654308
锦里古街,四川,成都,成都,028,66311313,武侯祠,南门武候祠大街,景点,步行街,104.049828,30.645994
南郊公园,四川,成都,成都,028,85094509,武侯祠,浆洗街街道武侯祠大街231号武侯祠景区内,景点,公园/广场,104.046043,30.644901
彭州博物馆,四川,成都,彭州市,028,83873715,上柳河,金彭西路326号,景点,博物馆,103.928909,30.98744
皮影艺术博物馆,四川,成都,大邑县,028,85324013,大邑县其他,和平村六组,景点,博物馆,103.4254,30.715441
青羊宫,四川,成都,成都,028,87766584,青羊宫,一环路西二段9号,景点,宗教,104.042656,30.661455
石经寺,四川,成都,成都,028,84810242,龙泉驿区,茶店镇石经村,景点,宗教,104.348061,30.502283
四川省文化馆,四川,成都,成都,028,87792756;87784305,营门口,营门口路4号,景点,展览馆,104.044106,30.681814
天仁石刻艺术博物馆,四川,成都,成都,028,82968888,花牌坊,三洞桥路18号天仁大酒店,景点,博物馆,104.050333,30.675003
成都武侯祠博物馆,四川,成都,成都,028,85552397;85535951,武侯祠,武侯祠大街231号,景点,博物馆,104.047989,30.646168
西南民族学院民族博物馆,四川,成都,成都,028,,高升桥,一环路南四段12号西南民族大学内,景点,博物馆,104.049187,30.639509
现代艺术馆,四川,成都,成都,028,,沙湾会展中心,金沙路,景点,美术馆,104.049072,30.692261
新华公园,四川,成都,成都,028,84311643,双林路,新鸿路街道双林路87号,景点,城市公园,104.105659,30.656313
成都市植物园,四川,成都,成都,028,83583439,三河场,蓉都大道1116号,景点,植物园,104.129951,30.764433
四川大学-博物馆,四川,成都,成都,028,85412451,科华北路,望江路29号四川大学东门外,景点,博物馆,104.091003,30.63582
望江楼公园,四川,成都,成都,028,85291450,九眼桥,望江路30号,景点,城市公园,104.092209,30.629248
黄龙溪古镇,四川,成都,双流区,028,62157666;62158555,黄龙溪,黄龙溪镇皇金路70号,景点,古村古镇,103.968147,30.320667
文殊院,四川,成都,成都,028,86930623;86662375,北门大桥,文殊院街66号,景点,宗教,104.072563,30.675369
