名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
中国地质大学逸夫博物馆,湖北,武汉,武汉,027,67848584,光谷/鲁巷,鲁磨路338号中国地质大学,景点,博物馆,114.40052,30.517513
八路军武汉办事处旧址纪念馆,湖北,武汉,武汉,027,82735576,解放公园/武汉天地,汉口长春街57号,景点,纪念馆,114.309402,30.606155
武汉二七纪念馆,湖北,武汉,武汉,027,82934390,百步亭/二七,解放大道2499号,景点,博物馆,114.324127,30.634836
八七会议会址纪念馆,湖北,武汉,武汉,027,82835088,客运港/江滩,汉口鄱阳街139号,景点,纪念馆,114.299911,30.586637
国民政府旧址纪念馆,湖北,武汉,武汉,027,85663790,江汉路步行街,汉口中山大道708号,景点,纪念馆,114.286728,30.575834
中国收藏家酒瓶博物馆,湖北,武汉,武汉,027,83212097,古田路,古田五路2号3门,景点,博物馆,114.200799,30.597434
湖北省博物馆,湖北,武汉,武汉,027,86790329;86794127,岳家嘴/东亭,东湖路160号,景点,博物馆,114.365364,30.561302
中共五大会址纪念馆,湖北,武汉,武汉,027,88850322,司门口,都府堤20号,景点,纪念馆,114.298447,30.550941
汉阳莲花湖公园,湖北,武汉,武汉,027,,汉阳大道,建桥街道汉阳大道2号,景点,公园/广场,114.278046,30.550856
宝岛公园,湖北,武汉,武汉,027,,港澳台风情街,高雄路特1号,景点,公园/广场,114.284195,30.59783
解放公园,湖北,武汉,武汉,027,82421760,解放公园/武汉天地,解放大道1861号,景点,公园/广场,114.305031,30.608618
汉口江滩,湖北,武汉,武汉,027,82774567,客运港/江滩,汉口沿江大道天津路（临江门）,景点,广场,114.319466,30.610243
常青公园,湖北,武汉,武汉,027,,常青花园,常青路149号旁,景点,公园/广场,114.238327,30.619705
堤角公园,湖北,武汉,武汉,027,82306102,新荣/堤角,解放大道2060号,景点,公园/广场,114.338455,30.661613
中山公园,湖北,武汉,武汉,027,85607776;85807312,万松园,解放大道1265号,景点,城市公园,114.271239,30.5868
硚口公园,湖北,武汉,武汉,027,83785398,硚口路,汉口中山大道45号,景点,公园/广场,114.256897,30.570404
白玉公园,湖北,武汉,武汉,027,86414464,武钢厂区/武东,白玉山青化路群力村,景点,公园/广场,114.490479,30.598804
南干渠游园,湖北,武汉,武汉,027,,八大家/红钢城,冶金南干渠游园,景点,城市公园,114.402794,30.626017
青山公园,湖北,武汉,武汉,027,86863048,八大家/红钢城,和平大道1546号,景点,公园/广场,114.407875,30.638573
武汉东湖海洋世界,湖北,武汉,武汉,027,86772929,东湖风景区,沿湖大道20号,景点,海洋馆,114.379662,30.574123
九峰森林动物园,湖北,武汉,武汉,027,87639763;189****9752,光谷/东湖高新区,九峰狮子峰特1号,景点,动物园,114.491112,30.507751
武昌江滩,湖北,武汉,武汉,027,88603989,和平大道积玉桥,临江大道武昌江滩,景点,广场,114.323067,30.58823
东湖吹笛景区,湖北,武汉,武汉,027,87804351,光谷/鲁巷,马鞍山森林公园南大门,景点,森林公园,114.437088,30.51173
洪山公园,湖北,武汉,武汉,027,87892480,中南路/洪山广场,武珞路509号,景点,公园/广场,114.344086,30.534082
首义公园,湖北,武汉,武汉,027,,中南路/洪山广场,武珞路47号,景点,公园/广场,114.313179,30.541878
东湖飞鸟世界,湖北,武汉,武汉,027,86772929,岳家嘴/东亭,沿湖大道20号（梨园广场左侧）,景点,动物园,114.376274,30.57419
龙泉山生态园,湖北,武汉,武汉,027,,东西湖区,流芳镇北麓三汊港,景点,动植物园,113.955558,30.741592
汤湖公园,湖北,武汉,武汉,027,157****5739,沌口,兴华路1号,景点,公园/广场,114.165367,30.466982
杨柳堤江滩公园,湖北,武汉,武汉,027,,蔡甸城区,蔡江路25号,景点,公园/广场,114.033318,30.59008
晴川阁,湖北,武汉,武汉,027,84710887,琴台,洗马长街86号,景点,人文古迹,114.284767,30.555529
龟山风景区,湖北,武汉,武汉,027,84713530,钟家村,晴川街道龟北路5号,景点,自然风光,114.275169,30.555061
墨水湖,湖北,武汉,武汉,027,,汉阳大道,汉阳大道南侧,景点,自然风光,114.215332,30.549112
月湖风景区,湖北,武汉,武汉,027,,汉阳大道,晴川街道琴台大道68号,景点,自然风光,114.257767,30.557167
卓刀泉寺,湖北,武汉,武汉,027,87521752,卓刀泉/虎泉,卓刀泉南路27号,景点,宗教,114.36882,30.516409
詹天佑故居博物馆,湖北,武汉,武汉,027,82844493,客运港/江滩,汉口洞庭街65号,景点,博物馆,114.299423,30.585205
古德寺,湖北,武汉,武汉,027,82907553,解放公园/武汉天地,黄浦大街上滑坡路74号,景点,宗教,114.307289,30.618729
汉口辛亥首义烈士陵园,湖北,武汉,武汉,027,82410639,港澳台风情街,汉口球场路2号,景点,烈士陵园,114.294373,30.597622
宋庆龄汉口旧居纪念馆,湖北,武汉,武汉,027,82296617,客运港/江滩,汉口沿江大道162号,景点,名人故居,114.30233,30.586487
京汉铁路总工会旧址,湖北,武汉,武汉,027,82901914,百步亭/二七,汉口解放大道2185号,景点,古代遗迹,114.317787,30.624475
长春观,湖北,武汉,武汉,027,88842090,石牌岭/街道口,武珞路269号（近武昌大东门),景点,宗教,114.320824,30.54022
九女墩,湖北,武汉,武汉,027,86773706,东湖风景区,东湖风景区西北湖畔,景点,人文古迹,114.383034,30.581009
毛泽东同志旧居,湖北,武汉,武汉,027,88850322,司门口,武昌都府堤路41号,景点,名人故居,114.299294,30.551012
中共中央农民运动讲习所旧址,湖北,武汉,武汉,027,88850322,司门口,武昌红巷13号,景点,纪念地,114.30027,30.553591
洪山宝塔,湖北,武汉,武汉,027,84843543,中南路/洪山广场,武珞路549号,景点,历史建筑,114.341759,30.533569
施洋烈士陵园,湖北,武汉,武汉,027,87641163,中南路/洪山广场,中南路街道武珞路509号,景点,烈士陵园,114.336876,30.532696
中央军事政治学校旧址,湖北,武汉,武汉,027,,首义汇/阅马场,武昌解放路259号,景点,古代遗迹,114.296684,30.539673
黄鹤楼,湖北,武汉,武汉,027,88875096,首义汇/阅马场,西山坡特1号,景点,古代遗迹,114.302467,30.544647
放鹰台遗址,湖北,武汉,武汉,027,,水果湖,武昌水果湖畔,景点,古代遗迹,114.353699,30.548389
宝通禅寺,湖北,武汉,武汉,027,87884539,中南路/洪山广场,中南路街道武昌武珞路549号,景点,宗教,114.340958,30.532158
杨春湖,湖北,武汉,武汉,027,,八大家/红钢城,杨春湖路杨春湖景区,景点,自然风光,114.418098,30.613766
凤凰山,湖北,武汉,武汉,027,,纸坊,中山路,景点,自然风光,114.291425,30.368601
木兰山古建筑群,湖北,武汉,武汉,027,,黄陂区,长轩岭镇木兰山古建筑群,景点,历史建筑,114.382188,31.109024
盘龙城国家考古遗址公园,湖北,武汉,武汉,027,,盘龙城,盘龙城经济开发区盘龙大道特一号,景点,古代遗迹,114.27195,30.697412
黄狮海,湖北,武汉,武汉,027,,吴家山,黄狮海东路西,景点,自然风光,114.151825,30.638826
马投潭遗址,湖北,武汉,武汉,027,,吴家山,三店农场马投潭村,景点,古代遗迹,114.127435,30.637715
后官湖国家湿地公园,湖北,武汉,武汉,027,69606288;69112210,蔡甸周边,中法武汉生态示范城五贤南路58号,景点,自然风光,114.068512,30.54554
黄家湖,湖北,武汉,武汉,027,,黄家湖大学城,黄家湖风景区,景点,自然风光,114.290291,30.441664
金银湖国家城市湿地公园,湖北,武汉,武汉,027,,金银湖,金银湖旅游渡假区,景点,公园/广场,114.187355,30.641472
龙阳湖,湖北,武汉,武汉,027,,汉阳大道,仙女山路与墨北西延线交叉口,景点,自然风光,114.192447,30.555663
三角湖,湖北,武汉,武汉,027,,沌口,汉阳龙阳大道268号三角湖渡假村附近,景点,自然风光,114.166046,30.510618
设法山,湖北,武汉,武汉,027,,沌口,（近沉湖）,景点,自然风光,114.127603,30.413493
太渔山,湖北,武汉,武汉,027,,光谷/鲁巷,鲁巷西都陈附近,景点,自然风光,114.451951,30.524341
鸭儿湖,湖北,武汉,武汉,027,,梁子湖风景区,曹家洲附近,景点,自然风光,114.573685,30.353595
水果湖,湖北,武汉,武汉,027,,水果湖,武昌白鹭街,景点,更多景点/周边游,114.348793,30.551199
陈友谅墓,湖北,武汉,武汉,027,,首义汇/阅马场,长江大桥武昌桥头引桥南坡下,景点,古代遗迹,114.295677,30.545486
龙泉山风景区,湖北,武汉,武汉,027,81620543,梁子湖风景区,东湖新技术开发区龙泉街道,景点,自然风光,114.518684,30.4088
武汉国际会展中心,湖北,武汉,武汉,027,85816005,武展商圈,万松街道解放大道696号（艳阳天酒家幸福殿堂店）,景点,展览馆,114.273575,30.580408
新华旅行社,湖北,武汉,武汉,027,82280609,客运港/江滩,黄兴路35号,景点,旅行社,114.297165,30.590324
木兰天池景区,湖北,武汉,武汉,027,61518923;61518926,黄陂区,木兰天池游客中心,景点,自然风光,114.285118,31.178089
保成路夜市,湖北,武汉,武汉,027,,江汉路步行街,保成路与江汉二路交口处,景点,夜市,114.290108,30.583296
四美塘公园,湖北,武汉,武汉,027,,徐东大街,杨园街道才华街16号附近,景点,公园/广场,114.336533,30.595491
洪山广场,湖北,武汉,武汉,027,87841463,水果湖,中北路2号,景点,广场,114.337074,30.545065
武昌基督教武昌堂,湖北,武汉,武汉,027,88877807,司门口,武昌民主路221号,景点,宗教,114.303246,30.545807
救世堂,湖北,武汉,武汉,027,,武胜路,汉正街447号,景点,宗教,114.267036,30.565453
感恩堂,湖北,武汉,武汉,027,,司门口,三道街120号,景点,宗教,114.307701,30.546444
崇真堂,湖北,武汉,武汉,027,88876559,和平大道积玉桥,昙华林2号,景点,历史建筑,114.306175,30.552734
青山堂,湖北,武汉,武汉,027,86304001,八大家/红钢城,沿港路25号,景点,宗教,114.407288,30.6332
世界城光谷步行街,湖北,武汉,武汉,027,87803088,光谷/鲁巷,东湖新技术开发区珞喻路726号,景点,步行街,114.402359,30.505339
和平国防教育基地,湖北,武汉,武汉,027,,客运港/江滩,沿江大道武汉关22码头,景点,更多景点/周边游,114.298454,30.576147
大禹神话园,湖北,武汉,武汉,027,,琴台,晴川大道大禹园神话,景点,更多景点/周边游,114.285538,30.555904
清凉寨景区,湖北,武汉,武汉,027,61539008;61539009,黄陂区,蔡店街,景点,自然风光,114.221703,31.288275
武汉长江大桥,湖北,武汉,武汉,027,,武昌区,晴川街道临江大道与龟山南路交叉口西北侧,景点,更多景点/周边游,114.283463,30.55258
喻家山,湖北,武汉,武汉,027,,光谷/鲁巷,珞喻路1037号华中科技大学洪山校区主校区北端,景点,自然风光,114.416229,30.521639
铁门关,湖北,武汉,武汉,027,84710413,鹦鹉大道,晴川大道5-6号,景点,人文古迹,114.284279,30.556343
西北湖绿化广场,湖北,武汉,武汉,027,85748936,西北湖,建设大道705号北湖站,景点,广场,114.268524,30.595692
中国武钢博物馆,湖北,武汉,武汉,027,86805808,八大家/红钢城,冶金大道30号,景点,博物馆,114.405586,30.630009
小南湖公园,湖北,武汉,武汉,027,85771781,港澳台风情街,台北一路68号,景点,公园/广场,114.277802,30.5917
水果湖儿童公园,湖北,武汉,武汉,027,87233943,水果湖,水果湖横路30号,景点,公园/广场,114.345009,30.546612
江汉路步行街,湖北,武汉,武汉,027,159****9918,江汉路步行街,江汉路步行街（近中山大道）,景点,步行街,114.289886,30.57925
武汉栖隐寺,湖北,武汉,武汉,027,,六渡桥/汉正街,六渡桥勤劳一街39号,景点,宗教,114.283707,30.571148
湖北美术学院美术馆,湖北,武汉,武汉,027,86796067;86796062,大东门/小东门,中山路368号,景点,美术馆,114.317215,30.549398
九峰良种草坪基地,湖北,武汉,武汉,027,62901797,光谷/东湖高新区,九峰乡保丰村,景点,自然风光,114.495004,30.484775
湖北地质博物馆,湖北,武汉,武汉,027,85833247,武胜路,利济北路250号,景点,博物馆,114.267555,30.57925
大孚银行旧址,湖北,武汉,武汉,027,,江汉路步行街,南京路104号,景点,古代遗迹,114.293053,30.583067
汉水公园,湖北,武汉,武汉,027,84867295,王家湾,郭茨口394号,景点,公园/广场,114.214737,30.575296
龙王庙公园,湖北,武汉,武汉,027,85360503,六渡桥/汉正街,汉口沿江大道龙王庙站旁,景点,公园/广场,114.291283,30.567051
