名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
江南旅行社,广东,深圳,深圳,0755,82257189,国贸,迎春路8号安华大厦16楼,景点,旅行社,114.117593,22.541843
九洲国旅,广东,深圳,深圳,0755,4008844669,华强北,上步中路园中花园A栋1-2层,景点,旅行社,114.098125,22.551945
康辉深圳旅行社,广东,深圳,深圳,0755,22155395;137****1674,华强北,深南中路华联大厦505室,景点,旅行社,114.094001,22.541342
职工国际旅行社,广东,深圳,深圳,0755,82245899,东门商业圈,文锦北路1010号文锦广场A栋西侧1、2层,景点,旅行社,114.11597,22.546092
大鹏新区博物馆,广东,深圳,深圳,0755,84319269;84315618,大鹏新区,大鹏镇鹏城村赖府巷10号,景点,博物馆,114.513023,22.595331
客家民俗博物馆,广东,深圳,深圳,0755,84297960;84296258,双龙/南联,南联社区罗瑞合北街1号,景点,博物馆,114.266045,22.727661
深圳博物馆,广东,深圳,深圳,0755,88132247,荔枝公园片区,同心路6号,景点,博物馆,114.101578,22.542414
笔架山公园,广东,深圳,深圳,0755,83320237,华强北,梅岗路26号,景点,城市公园,114.080879,22.562893
东湖公园,广东,深圳,深圳,0755,25410719;25429205,喜荟城/水库,黄贝街道爱国路1街11号,景点,城市公园,114.152344,22.56249
儿童公园,广东,深圳,深圳,0755,82253906,东门商业圈,童乐路12号,景点,公园/广场,114.124268,22.554045
洪湖公园,广东,深圳,深圳,0755,25628811,田贝/水贝,文锦北路2023号,景点,城市公园,114.119781,22.565479
荔枝公园,广东,深圳,深圳,0755,82095655,荔枝公园片区,华强北街道红岭中路1001号,景点,公园/广场,114.10228,22.545559
莲花山公园,广东,深圳,深圳,0755,83067950;83915939,市民中心,红荔路6030号,景点,城市公园,114.05867,22.553612
人民公园,广东,深圳,深圳,0755,82236346,东门商业圈,东门街道人民北路3071号,景点,城市公园,114.117188,22.553196
东江纵队司令部旧址,广东,深圳,深圳,0755,84230985,官湖,葵涌镇土洋村海景路2号,景点,历史建筑,114.40905,22.614573
华侨城生态广场,广东,深圳,深圳,0755,,华侨城,华侨城生态广场,景点,广场,113.984543,22.538338
龙田世居,广东,深圳,深圳,0755,,坑梓/竹坑,坑梓街道龙田社区田段心村,景点,历史建筑,114.37117,22.747656
思月书院,广东,深圳,深圳,0755,,东门商业圈,东门文化广场,景点,历史建筑,114.119621,22.546354
凤凰山公园,广东,深圳,深圳,0755,27391268,福永,福永镇凤凰山大道,景点,森林公园,113.850754,22.672855
深圳锦绣中华民俗村,广东,深圳,深圳,0755,26600626,华侨城,深南大道9003号,景点,主题乐园,113.988907,22.530842
马峦山郊野公园,广东,深圳,深圳,0755,89785020,坪山区,南坪快速天峦湖花园西南600米,景点,城市公园,114.328156,22.638048
南头古城,广东,深圳,深圳,0755,26669990,南头,南头天桥北8米处,景点,古村古镇,113.921432,22.543034
七娘山,广东,深圳,深圳,0755,151****4387,杨梅坑/桔钓沙,南澳新大村东圩区,景点,自然风光,114.550484,22.526272
青青世界,广东,深圳,深圳,0755,26646988,蛇口,月亮湾青青路1号,景点,动植物园,113.900513,22.499325
世界之窗,广东,深圳,深圳,0755,26608000,华侨城,深南大道9037号,景点,主题乐园,113.972923,22.534666
阳台山森林公园,广东,深圳,深圳,0755,27522408,龙华新区,石岩镇龙眼山村,景点,森林公园,113.966995,22.650536
深圳市中科院仙湖植物园,广东,深圳,深圳,0755,25738430,莲塘,仙湖路160号,景点,植物园,114.174812,22.576405
红树林自然保护区,广东,深圳,深圳,0755,,竹子林,滨海大道福田红树林自然保护区,景点,自然保护区,114.012978,22.52342
关山月美术馆,广东,深圳,深圳,0755,83063086,市民中心,红荔路6026号（近少年宫斜对面）,景点,美术馆,114.063965,22.549219
雅昌艺术馆,广东,深圳,深圳,0755,82512151,梅林,梅东二路翰岭院对面,景点,美术馆,114.067474,22.571419
大芬油画村,广东,深圳,深圳,0755,84732622,布吉街/东站,沿河路与布沙路的交叉口,景点,特色乡村,114.136238,22.609661
深圳国际园林花卉博览园,广东,深圳,深圳,0755,82829036,竹子林,深南大道8002号,景点,植物园,114.003761,22.537542
园山风景区,广东,深圳,深圳,0755,28675668,横岗,园山街道大康社区公园路31号,景点,自然风光,114.24881,22.634146
皇岗公园,广东,深圳,深圳,0755,83491286,皇岗/水围,福田街道益田路2002号,景点,城市公园,114.058078,22.517671
翠竹公园,广东,深圳,深圳,0755,25796374,翠竹路沿线,翠竹路1078号,景点,文化公园,114.134338,22.56385
海山公园,广东,深圳,深圳,0755,25353127,沙头角,沙头角镇庙公岭,景点,自然风光,114.240143,22.559641
布吉公园,广东,深圳,深圳,0755,28287249,布吉街/东站,金龙路21号,景点,城市公园,114.118347,22.604239
荔香公园,广东,深圳,深圳,0755,26667514,南头,南光路与南头街交界处,景点,城市公园,113.929474,22.536629
东部华侨城,广东,深圳,深圳,0755,88889888,东部华侨城,梅沙街道盐三路,景点,主题乐园,114.287666,22.626673
光明农场大观园,广东,深圳,深圳,0755,27400899;27404159,光明新区,碧水路88号,景点,动植物园,113.962067,22.760309
四海公园,广东,深圳,深圳,0755,,蛇口,公园路,景点,公园/广场,113.926941,22.495953
排牙山,广东,深圳,深圳,0755,,龙岗区,大鹏镇,景点,自然风光,114.542611,22.623341
中国国旅,广东,深圳,深圳,0755,81487011;130****2676,龙华,建设路关上关航小区一幢一单元402室,景点,旅行社,114.031536,22.653926
深圳湾口岸,广东,深圳,深圳,0755,36989588,深圳湾,东四路近东滨路,景点,边检口岸观光,113.947655,22.495935
蛇口邮轮中心,广东,深圳,深圳,0755,26695601,蛇口,海运路1号,景点,城市观光,113.913223,22.468748
蛇口广场,广东,深圳,深圳,0755,26675993,蛇口,蛇口街道金世纪路11号,景点,广场,113.931145,22.484867
九洲国际旅行社,广东,深圳,深圳,0755,22209000;22209999,八卦岭/园岭,红岭中路康泰娱乐城南国大厦1栋1楼,景点,旅行社,114.104181,22.555491
茵特拉根水疗,广东,深圳,深圳,0755,28886666,东部华侨城,东部华侨城茵特拉根水疗,景点,更多景点/周边游,114.274757,22.633129
灵芝公园,广东,深圳,深圳,0755,27875864,新安,前进一路80号,景点,城市公园,113.907684,22.569502
中康公园,广东,深圳,深圳,0755,83107902,梅林,梅林路与环林街交口,景点,城市公园,114.05654,22.568891
嘉宾公园,广东,深圳,深圳,0755,,宝安南路沿线,宝安南路1881号万象城对面,景点,城市公园,114.112251,22.53829
龙华公园,广东,深圳,深圳,0755,,龙华,人民路4279号,景点,城市公园,114.017014,22.657192
塘朗山公园,广东,深圳,深圳,0755,26798753;26798063,西丽,龙珠六路桃源村对面,景点,城市公园,113.982262,22.563883
梅林公园,广东,深圳,深圳,0755,83507209,梅林,梅林街道梅亭路14号,景点,公园/广场,114.041176,22.57078
春江游乐求水山景区游乐场,广东,深圳,深圳,0755,28751858;28781858,布吉街/东站,龙山路南岭村求水山公园内,景点,游乐场,114.14283,22.598297
福田体育公园,广东,深圳,深圳,0755,23810009,沙头,福强路（近沙嘴路）,景点,城市公园,114.036079,22.526026
松坪山公园,广东,深圳,深圳,0755,82437763,科技园,乌石头路9号,景点,城市公园,113.94732,22.558487
