名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
河北省东方国际旅行社,河北,石家庄,石家庄,0311,86128980;86012681,世纪公园,槐安东路152号金源商务广场B座705室,景点,旅行社,114.557182,38.02207
康辉旅游,河北,石家庄,石家庄,0311,87662111,中山西路,中华北大街与宁安路南行200米路西,景点,旅行社,114.476881,38.052981
神州旅行社,河北,石家庄,石家庄,0311,86073041,中山东路,长征街8号三信写字楼206室,景点,旅行社,114.505493,38.044073
中国国际旅行社,河北,石家庄,石家庄,0311,87827997,中山西路,和平西路与友谊北大街交叉口东50米,景点,旅行社,114.453491,38.060931
滨河公园,河北,石家庄,石家庄,0311,,红旗大街槐安路,南环西路民心河旁,景点,公园/广场,114.471565,38.002045
封龙山风景区,河北,石家庄,鹿泉区,0311,82131148,鹿泉区其他,铜冶镇南故邑村,景点,自然风光,114.353607,37.912315
世纪公园,河北,石家庄,石家庄,0311,85895554,世纪公园,体育南大街,景点,城市公园,114.537201,38.019897
新华水上公园,河北,石家庄,石家庄,0311,87768238,水上公园,联盟路500号,景点,城市公园,114.45742,38.077057
月季公园,河北,石家庄,石家庄,0311,,桃园,北二环东路与新月街交叉口西北角,景点,公园/广场,114.538414,38.079262
中山公园,河北,石家庄,石家庄,0311,,中山西路,西二环北路与和平西路交口北,景点,公园/广场,114.434601,38.06728
天山海世界,河北,石家庄,石家庄,0311,85389244;85389330,天山海世界,高新技术开发区天山大街116号,景点,水上乐园,114.607338,38.038513
人民广场公园,河北,石家庄,石家庄,0311,,北国东尚,建设北大街1号,景点,广场,114.51516,38.044628
河北博物院,河北,石家庄,石家庄,0311,966518,中山东路,东大街4号,景点,博物馆,114.522659,38.040604
赵州桥景区,河北,石家庄,赵县,0311,84957077;156****7117,赵县其他,赵辛线大石桥村,景点,历史建筑,114.770279,37.721962
华北军区烈士陵园,河北,石家庄,石家庄,0311,67597209,中山西路,中山西路343号,景点,烈士陵园,114.464386,38.043533
天桂山,河北,石家庄,平山县,0311,82827203;82827667,平山县其他,北治乡天桂山015县道,景点,自然风光,113.749725,38.259876
西柏坡纪念馆,河北,石家庄,平山县,0311,82851381,平山县其他,西柏坡镇迎宾路（西柏坡纪念馆西北侧约250米）,景点,纪念馆,113.943558,38.34127
长安公园,河北,石家庄,石家庄,0311,86048360,中山东路,青园街道建设北大街13号,景点,公园/广场,114.514618,38.046844
平安公园,河北,石家庄,石家庄,0311,,中山西路,平安大街与裕华路交叉口东北角,景点,公园/广场,114.50267,38.037071
友谊公园,河北,石家庄,石家庄,0311,83635414,中山西路,友谊北大街87号,景点,公园/广场,114.45237,38.047169
裕西公园,河北,石家庄,石家庄,0311,83606158,中山西路,中山西路698号,景点,公园/广场,114.415565,38.037582
苍岩山风景名胜区,河北,石家庄,井陉县,0311,82324104,井陉县其他,苍岩山镇寺沟村,景点,自然风光,114.166328,37.834301
抱犊寨风景区,河北,石家庄,鹿泉区,0311,82013208;82011882,鹿泉区其他,太平河北路与观景大街交叉口西侧200米,景点,自然风光,114.277588,38.088249
荣国府,河北,石家庄,正定县,0311,88786107,子龙广场,兴荣路51号,景点,历史建筑,114.5793,38.147919
隆兴寺,河北,石家庄,正定县,0311,88789987;88786560,隆兴寺,中山东路109号,景点,宗教,114.58255,38.144314
驼梁风景区,河北,石家庄,平山县,0311,82499336,平山县其他,西北部前大地村,景点,自然风光,113.819984,38.724434
西清省会法制公园,河北,石家庄,石家庄,0311,,红旗大街槐安路,红旗大街与裕华路交叉口,景点,公园/广场,114.460701,38.033669
临济寺,河北,石家庄,正定县,0311,88022104,历史文化街,燕赵南大街济路,景点,宗教,114.57299,38.135635
陀罗尼经幢,河北,石家庄,赵县,0311,,柏林禅寺,石塔路与石桥大街交汇处,景点,更多景点/周边游,114.774643,37.748131
石门公园,河北,石家庄,石家庄,0311,85874042,世纪公园,富强大街18号,景点,公园/广场,114.524292,38.02953
石家庄植物园,河北,石家庄,鹿泉区,0311,83631094;83657368,植物园,植物园街60号,景点,植物园,114.381927,38.105759
石太公园,河北,石家庄,石家庄,0311,,三元,国泰街4号,景点,公园/广场,114.443504,38.059647
石家庄市动物园,河北,石家庄,鹿泉区,0311,83932005;83932000,动物园,向阳大街与观景大街交叉口西南角,景点,动物园,114.304375,38.06181
太平河公园,河北,石家庄,石家庄,0311,,岔河,柳源路与翠屏东路交叉口西南100米,景点,公园/广场,114.552635,38.115608
康辉旅游,河北,石家庄,石家庄,0311,186****0163,怀特商城,槐安路与育才街交叉口东北角,景点,旅行社,114.529335,38.022865
元南公园,河北,石家庄,石家庄,0311,86122959,火车站/解放广场,普圆街和建胜路交口,景点,公园/广场,114.495253,38.019364
国御温泉度假小镇,河北,石家庄,藁城区,0311,88926333,藁城区其他,307国道与机场路交叉口东2公里路北,景点,温泉,114.761269,38.03331
天宁寺,河北,石家庄,正定县,0311,,子龙广场,中山东路,景点,宗教,114.575371,38.142239
广惠寺华塔,河北,石家庄,正定县,0311,,历史文化街,燕赵南大街与广惠路交口东80米,景点,宗教,114.571701,38.13224
博物馆文化广场,河北,石家庄,新乐市,0311,,爱尚广场,礼堂街博物馆前,景点,广场,114.682915,38.345703
金鹿公园,河北,石家庄,辛集市,0311,83222457,泰和商圈,建设东大街与西华路交口东,景点,公园/广场,115.212509,37.917156
丽泽广场,河北,石家庄,深泽县,0311,,深泽县其他,石油大街198号正南方向150米,景点,广场,115.187477,38.180801
西柏坡温泉滑雪场,河北,石家庄,平山县,0311,82812222;180****1457,平山县其他,温塘镇白鹿温泉南行3公里北马冢村（近白鹿温泉）,景点,滑雪场,113.975166,38.211243
清利寺,河北,石家庄,辛集市,0311,,辛集市其他,市府街东路,景点,宗教,115.257919,37.941113
欧韵公园,河北,石家庄,石家庄,0311,,欧韵公园,建设南大街,景点,公园/广场,114.51123,38.01804
