名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
西安中国画院,陕西,西安,西安,029,88221057,小寨,含光南路296号,景点,展览馆,108.931164,34.229281
西安半坡博物馆,陕西,西安,西安,029,62815385;62815430,纺织城,半坡路155号,景点,博物馆,109.05117,34.273251
西周车马博物馆,陕西,西安,西安,029,,长安区,马王街道,景点,博物馆,108.721344,34.204189
陕西自然博物馆,陕西,西安,西安,029,85331256,电视台/会展中心,长安南路88号,景点,博物馆,108.94574,34.197361
西安秦岭野生动物园,陕西,西安,西安,029,85670000,秦岭沿线,关中环线南500米,景点,野生动物园,108.866714,34.047455
革命公园游乐场,陕西,西安,西安,029,158****2952;139****9138,解放路/火车站,西五路53号（革命公园内）,景点,游乐场,108.956696,34.271484
环城西苑公园,陕西,西安,西安,029,88618989,安定门,环城西路街道环城西路北段与铁塔寺路交叉口东北150米,景点,城市公园,108.923569,34.264023
莲湖公园,陕西,西安,西安,029,87256341,莲湖公园,莲湖路58号,景点,公园/广场,108.940529,34.26899
麓山森林公园,陕西,西安,蓝田县,029,,蓝田县其他,锡水村,景点,森林公园,109.404975,34.062309
终南山·南五台景区,陕西,西安,西安,029,85949234,长安区,五台街道南五台景区,景点,森林公园,108.979424,34.00346
西安曲江春晓园,陕西,西安,西安,029,,大雁塔,雁塔南路大雁塔风景区大慈恩寺内,景点,古代遗迹,108.965891,34.217681
文景公园,陕西,西安,西安,029,88103178,文景路,文景路,景点,城市观光,108.935715,34.321529
新纪元公园,陕西,西安,西安,029,,科技路沿线,高新二路24号,景点,城市公园,108.896088,34.229759
西安碑林博物馆,陕西,西安,西安,029,87210764;87253331,东大街,三学街15号（近书院门）,景点,博物馆,108.952736,34.25367
秦始皇帝陵博物院,陕西,西安,临潼区,029,81399174,兵马俑,秦陵北路与秦俑馆公路交叉口,景点,博物馆,109.281158,34.385021
翠华山,陕西,西安,西安,029,85892176;85891750,长安区,太乙宫镇翠华山,景点,自然风光,109.009514,33.966251
大明宫国家遗址公园,陕西,西安,西安,029,82200808;81618263,太华路沿线,自强东路585号,景点,古代遗迹,108.963562,34.292542
化觉巷清真大寺,陕西,西安,西安,029,87272541,安定门,北院门街道北院门化觉巷30号,景点,宗教,108.941208,34.261806
大唐芙蓉园,陕西,西安,西安,029,85511888,曲江新区,芙蓉西路99号,景点,主题乐园,108.970581,34.211678
西安事变蜡像馆,陕西,西安,西安,029,,和平门/建国门,骊山脚下西花园,景点,蜡像馆,108.967682,34.257385
西安曲江池遗址公园,陕西,西安,西安,029,85563398,曲江新区,曲江街道曲江池东路与寒窑路交叉口西20米,景点,古代遗迹,108.98526,34.20013
陕西省工业展览馆,陕西,西安,西安,029,83912241,省体育场,长安北路1号,景点,展览馆,108.947945,34.231136
西安城墙,陕西,西安,西安,029,87272792,南大街,南大街2号,景点,古代遗迹,108.947144,34.251305
西安钟楼,陕西,西安,西安,029,87276420;87214665,钟楼/鼓楼,东大街与北大街交叉口西南角,景点,古代遗迹,108.947014,34.259418
西安植物园,陕西,西安,西安,029,61109924,雁塔区,植物园,景点,植物园,109.029701,34.209446
光大国际旅行社,陕西,西安,西安,029,88413337,西北大/西工大,含光北路137号鸿业大酒店2号楼3层外联二部,景点,旅行社,108.93206,34.245659
红星旅行社,陕西,西安,蓝田县,029,,北环路,蓝新路,景点,旅行社,109.316333,34.158583
儿童公园,陕西,西安,西安,029,,钟楼/鼓楼,西大街西举院巷东口,景点,公园/广场,108.929451,34.261688
未央湖游乐园,陕西,西安,西安,029,86671776,未央区,环湖西路与环湖南路交叉口东北角,景点,游乐场,108.986519,34.402382
劳动公园,陕西,西安,西安,029,88648357;88614105,桃园路,团结东路195号,景点,公园/广场,108.90416,34.264969
丰庆公园,陕西,西安,西安,029,,桃园路,桃园南路6号,景点,城市公园,108.898575,34.247932
西安市长乐公园,陕西,西安,西安,029,83283430,金花路沿线,金花北路35号,景点,城市公园,108.999916,34.26178
西安烈士陵园,陕西,西安,西安,029,88253298,电子城,东仪路141号,景点,烈士陵园,108.933701,34.209396
大学习巷清真寺,陕西,西安,西安,029,,大皮院/西羊市,北院门街道大学习巷94号,景点,宗教,108.939186,34.261127
朱雀国家森林公园,陕西,西安,鄠邑区,029,84970888,鄠邑区其他,户菜路涝峪八里坪村,景点,森林公园,108.599693,33.810192
水陆庵景区,陕西,西安,蓝田县,029,82920741,蓝田县其他,城东10公里处普化镇王顺山下,景点,宗教,109.417,34.131947
西安市广仁寺,陕西,西安,西安,029,87341676,莲湖公园,城墙西北角西北一路152号,景点,宗教,108.925885,34.274554
湘子庙,陕西,西安,西安,029,,南院门,湘子街18号,景点,宗教,108.944328,34.252804
骡马市步行街,陕西,西安,西安,029,,钟楼/鼓楼,东大街,景点,步行街,108.950241,34.257877
香积寺,陕西,西安,西安,029,85973209,秦岭沿线,郭杜街道香积寺村,景点,宗教,108.892662,34.122791
华严寺,陕西,西安,西安,029,85280014,航天城,杜曲镇韦曲街道东南少陵原半坡上,景点,宗教,108.971474,34.135635
兴教寺,陕西,西安,西安,029,85937335,长安区,杜曲街道少陵原畔,景点,宗教,109.038872,34.090202
卧龙禅林,陕西,西安,西安,029,87517573,钟楼/鼓楼,柏树林街道开通西巷5号,景点,宗教,108.954887,34.254768
石佛寺,陕西,西安,西安,029,,秦岭沿线,子午大道南段,景点,宗教,108.895515,34.081448
西安祥峪森林公园,陕西,西安,西安,029,85865069,长安区,东大镇,景点,森林公园,108.809555,33.966064
西五台云居寺,陕西,西安,西安,029,,莲湖公园,北院门街道莲湖路洒金桥162号,景点,宗教,108.930786,34.268215
木塔寺遗址生态公园,陕西,西安,西安,029,,高新路沿线,丈八街道木塔寺生态遗址公园（科技六路南）,景点,公园/广场,108.896355,34.208546
辋川溶洞,陕西,西安,蓝田县,029,82822222,蓝田县其他,辋川镇锡水洞村附近,景点,自然风光,109.410133,34.072334
唐城墙遗址公园,陕西,西安,西安,029,85563398,曲江新区,芙蓉西路99号,景点,纪念公园,108.968475,34.204319
西安都城隍庙,陕西,西安,西安,029,87278333,桥梓口,北院门街道西大街129号,景点,宗教,108.93737,34.261227
罔极寺,陕西,西安,西安,029,83651571,长乐坊,东关炮房街49号,景点,宗教,108.976089,34.261879
清真西寺,陕西,西安,西安,029,87272859,莲湖公园,洒金桥2号,景点,宗教,108.932327,34.26329
旅陕清真寺,陕西,西安,西安,029,,安定门,香米园7号,景点,宗教,108.93232,34.266209
西仓清真寺,陕西,西安,西安,029,87320298,大皮院/西羊市,西仓东巷,景点,宗教,108.936844,34.266144
南新街礼拜堂,陕西,西安,西安,029,87215757,民乐园,南新街集贤巷1号,景点,宗教,108.953445,34.260899
五星街天主教堂,陕西,西安,西安,029,87620948,桥梓口,五星街17号,景点,宗教,108.933777,34.256367
莲湖天主堂,陕西,西安,西安,029,,北大街,糖坊街71号,景点,宗教,108.943611,34.273781
西安唐皇城墙含光门遗址博物馆,陕西,西安,西安,029,87638254,甜水井,含光门里甜水井大街南端,景点,博物馆,108.932404,34.251724
宝庆寺塔,陕西,西安,西安,029,,钟楼/鼓楼,城南门内书院门街北侧,景点,古代遗迹,108.948181,34.253124
华清宫,陕西,西安,临潼区,029,83812004;4000299989,华清池,华清路38号,景点,历史建筑,109.211227,34.364632
临潼博物馆,陕西,西安,临潼区,029,83812071,华清池,骊山脚下唐华清宫东侧,景点,博物馆,109.216904,34.36425
环城公园,陕西,西安,西安,029,,长乐坊,莲湖路与联盟巷交叉口,景点,公园/广场,108.971733,34.258171
沣峪口,陕西,西安,西安,029,,秦岭沿线,滦镇街道沣峪口,景点,自然景观,108.80352,34.032879
中国唐苑,陕西,西安,西安,029,63361300,雁塔区,杜陵邑南路中段中国唐苑,景点,园林,109.03727,34.196869
斗门石佛寺,陕西,西安,西安,029,,秦岭沿线,西太公路与X313交叉路口往南约200米,景点,宗教,108.748718,34.058544
永阳公园,陕西,西安,西安,029,,唐延路沿线,唐延南路1号,景点,城市公园,108.892067,34.196507
白鹿原滑雪场,陕西,西安,西安,029,4000297878,白鹿原,水安路86号,景点,滑雪场,109.094688,34.216396
康辉旅行社,陕西,西安,西安,029,85226666,太白立交,吉祥村十字西北,景点,旅行社,108.931679,34.223797
延平门广场,陕西,西安,西安,029,,科技路沿线,沣惠南路,景点,广场,108.888702,34.230228
莲湖西安事变纪念馆,陕西,西安,西安,029,87686999,莲湖公园,青年路117号,景点,纪念馆,108.939819,34.271538
大唐不夜城,陕西,西安,西安,029,82695231,大雁塔,慈恩路46号,景点,步行街,108.965157,34.210224
西安大唐西市博物馆,陕西,西安,西安,029,84351808,劳动南路,劳动南路118号,景点,博物馆,108.907928,34.247501
康辉旅行社,陕西,西安,西安,029,82200202,小雁塔/南稍门,长安北路11号中陕国际12楼,景点,旅行社,108.947437,34.232367
西汉窦太后墓,陕西,西安,西安,029,,白鹿原,白鹿原,景点,古代遗迹,109.123543,34.234592
陕西民俗大观园,陕西,西安,西安,029,,大雁塔,小寨路街道大雁西路东口（近大雁塔北广场）,景点,城市公园,108.961876,34.219383
西大街夜市,陕西,西安,临潼区,029,,华清池,人民南路与北大街交叉口西150米,景点,夜市,109.21199,34.371059
西安曲江秦二世陵遗址公园,陕西,西安,西安,029,85428866,曲江新区,曲江池南路252号,景点,古代遗迹,108.984619,34.192726
纺织公园,陕西,西安,西安,029,83519727,纺织城,纺正街,景点,城市公园,109.062172,34.265587
汤峪湖森林公园,陕西,西安,蓝田县,029,137****9395,汤峪镇,汤峪镇温泉大道汤峪湖森林公园,景点,森林公园,109.241669,34.007202
