名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
郑州博物馆,河南,郑州,郑州,0371,67714993;67438090-8026,碧沙岗,嵩山南路168号,景点,博物馆,113.627373,34.745316
河南博物院,河南,郑州,郑州,0371,63511237;63511239,国贸360,农业路8号,景点,博物馆,113.672134,34.788223
黄河博物馆,河南,郑州,郑州,0371,69556704;69556715,北大学城,迎宾路402号,景点,博物馆,113.677765,34.871841
郑国车马坑遗址博物馆,河南,郑州,新郑市,0371,62672189,新郑市其他,新华路街道文化路1号,景点,博物馆,113.735802,34.385315
郑州科学技术馆,河南,郑州,郑州,0371,67970900,碧沙岗,嵩山南路32号,景点,科技馆,113.627014,34.745918
郑州市动物园,河南,郑州,郑州,0371,65738095,国贸360,花园路103号,景点,动物园,113.684731,34.788837
碧沙岗公园,河南,郑州,郑州,0371,67882871,碧沙岗,嵩山北路与建设东路交叉口东南角,景点,城市公园,113.63031,34.751549
青屏山公园,河南,郑州,新密市,0371,69860976,新密市其他,北文峰路,景点,城市公园,113.384048,34.550373
郑州市人民公园,河南,郑州,郑州,0371,66222219,火车站/二七广场,铭功路街道北二七路97号,景点,城市公园,113.66251,34.76123
嵩淮公园,河南,郑州,郑州,0371,,升龙广场,淮河路街道民安路66号,景点,城市公园,113.629585,34.730053
五一公园,河南,郑州,郑州,0371,66687406,碧沙岗,友爱路与文化宫路交叉口,景点,城市公园,113.61795,34.753624
紫荆山公园,河南,郑州,郑州,0371,65953180,人民路/紫荆山,金水路108号,景点,城市公园,113.687752,34.761917
官渡古战场,河南,郑州,中牟县,0371,,中牟县其他,城官渡桥村,景点,更多景点/周边游,114.04776,34.733036
黄河文化公园,河南,郑州,郑州,0371,68222228,黄河游览区,江山路黄河南岸1号,景点,自然风光,113.520363,34.950249
裴李岗遗址,河南,郑州,新郑市,0371,,新郑市其他,新村镇城西北约8公里裴李岗村西,景点,古代遗迹,113.656639,34.436398
商城遗址,河南,郑州,郑州,0371,66324705,人民路/紫荆山,城南路,景点,古代遗迹,113.687141,34.751522
少林寺景区,河南,郑州,登封市,0371,62745599,少林寺风景区,207国道嵩山少林风景区,景点,宗教,112.941399,34.506851
嵩山风景名胜区,河南,郑州,登封市,0371,62745000;62745599,登封市其他,207国道旁,景点,自然风光,112.948389,34.479273
升达艺术馆,河南,郑州,郑州,0371,66349138,人民路/紫荆山,城东路113号,景点,美术馆,113.690681,34.759403
