名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
北温泉,重庆,重庆,重庆,023,68359503,北温泉,澄江镇212国道旁边,景点,温泉,106.412277,29.858776
大渡口公园,重庆,重庆,重庆,023,68833668,大渡口公园,新山村街道文体路,景点,城市公园,106.482483,29.481462
海棠烟雨公园,重庆,重庆,重庆,023,,南滨路,南滨路,景点,城市公园,106.587151,29.545067
鸿恩寺森林公园,重庆,重庆,重庆,023,67051488,小苑/鸿恩寺,红石路305号,景点,森林公园,106.507111,29.56922
枇杷山公园,重庆,重庆,重庆,023,63519973,七星岗,枇杷山正街74号,景点,城市公园,106.557884,29.553911
重庆平顶山公园,重庆,重庆,重庆,023,65422238,小龙坎,小龙坎解放坡1-1号,景点,城市公园,106.473785,29.546999
渝中人民公园,重庆,重庆,重庆,023,63710552,朝天门,公园路1号,景点,城市公园,106.581345,29.555073
珊瑚公园,重庆,重庆,重庆,023,63626814,两路口,长滨路380号,景点,城市公园,106.554359,29.549488
石门公园,重庆,重庆,重庆,023,,大石坝,大石坝七村200号,景点,城市公园,106.488403,29.566687
重庆动物园,重庆,重庆,重庆,023,63817001,动物园,西郊路西郊一村1号,景点,动物园,106.505745,29.504
歌乐山国家森林公园,重庆,重庆,重庆,023,65505778;65510647,歌乐山,歌乐山国家森林公园,景点,森林公园,106.428276,29.567812
石夹沟景区,重庆,重庆,涪陵区,023,72712118,涪陵区其他,武陵山乡（武陵山大裂谷景区）,景点,自然风光,107.577694,29.502374
双龙湖,重庆,重庆,合川区,023,42592250,合川区其他,涞滩镇,景点,自然风光,106.421219,30.162367
渣滓洞,重庆,重庆,重庆,023,65314419,歌乐山,壮志路歌乐山烈士陵园1公里,景点,革命旧址,106.432404,29.58609
歌乐山烈士陵园,重庆,重庆,重庆,023,65312300,歌乐山,烈士墓壮志路政法三村,景点,烈士陵园,106.442596,29.57184
磁器口古镇,重庆,重庆,重庆,023,65010003;65322661,磁器口,磁南街1号,景点,古村古镇,106.449799,29.581369
大足石刻,重庆,重庆,大足区,023,43785774;43785531,大足区,宝顶镇,景点,历史建筑,105.794823,29.748732
重庆大轰炸“六五”隧道惨案史实展馆,重庆,重庆,重庆,023,63600295,解放碑,较场口87号附4号,景点,陈列馆,106.575615,29.553881
动步公园,重庆,重庆,重庆,023,,新牌坊,新南路140号龙湖西苑内,景点,公园/广场,106.506126,29.603355
岚苑度假村,重庆,重庆,重庆,023,61987600,黄桷垭/南山,南山街道黄桷垭文峰段94号,景点,更多景点/周边游,106.595847,29.527857
南山植物园,重庆,重庆,重庆,023,62479135,黄桷垭/南山,南山公园路101号,景点,植物园,106.62796,29.555401
天赐温泉,重庆,重庆,重庆,023,65701111,九龙坡区,含谷镇天赐温泉路1号,景点,温泉,106.371017,29.512262
洪崖洞商业街,重庆,重庆,重庆,023,63039951,洪崖洞,嘉陵江滨江路88号,景点,观光街区,106.578766,29.562105
圣灯山森林公园,重庆,重庆,重庆,023,66486664,巴南区,跳石镇,景点,森林公园,106.696053,29.224113
洪崖洞民俗风貌区,重庆,重庆,重庆,023,63039995;63035505,洪崖洞,嘉陵江滨江路88号,景点,步行街,106.578865,29.562075
仙女山国家森林公园,重庆,重庆,武隆区,023,4000235666,仙女山景区,仙女山镇,景点,森林公园,107.749649,29.495363
万州慈云寺,重庆,重庆,万州区,023,58122299,万达广场/移民广场,沙龙路一段1068号,景点,宗教,108.375107,30.801672
文文鱼艺术画廊,重庆,重庆,重庆,023,63109195,解放碑,民生路318号巴渝世家国际创意基地201号,景点,展览馆,106.569145,29.557096
海宇温泉大酒店,重庆,重庆,重庆,023,63179999,北碚城南,双元大道198号,景点,温泉,106.395622,29.802336
鹅岭公园瞰胜楼,重庆,重庆,重庆,023,63656270,两路口,鹅岭正街176号,景点,城市公园,106.538307,29.549974
黄葛古道,重庆,重庆,重庆,023,,上新街,海棠溪街道上新街前驱路277号,景点,古道,106.59687,29.540943
曾家岩50号周公馆,重庆,重庆,重庆,023,63862323,上清寺,中山四路曾家岩50号,景点,革命旧址,106.550468,29.565296
海兰云天温泉度假区,重庆,重庆,重庆,023,65746374;65741111,九龙坡区,金凤镇云谣路海兰云天温泉度假风景区,景点,温泉,106.281097,29.501509
乐和乐都主题公园,重庆,重庆,永川区,023,61179888,永川区其他,卫星湖街道凤龙路999号（近华科事业群、来龙湖、凤凰湖）,景点,主题乐园,105.912346,29.289764
重庆中国三峡博物馆,重庆,重庆,重庆,023,63679066,北滨路,上清寺人民路236号,景点,博物馆,106.550339,29.562088
花卉园,重庆,重庆,重庆,023,67615502,花卉园,红石支路16号,景点,植物园,106.514381,29.581438
碧津公园,重庆,重庆,重庆,023,67822587,两路,双龙湖街道胜利路172号,景点,城市公园,106.630135,29.713066
长江风情生态园,重庆,重庆,江津区,023,65500020,江津区,五宝镇长江边沿岸,景点,更多景点/周边游,105.93794,29.045369
红岩革命历史博物馆,重庆,重庆,重庆,023,63303457,化龙桥/重庆天地,红岩村52号,景点,博物馆,106.499191,29.553953
统景温泉,重庆,重庆,重庆,023,67288666;67288333,渝北区,统景镇景泉路66号,景点,温泉,106.831306,29.858946
重庆抗战遗址博物馆,重庆,重庆,重庆,023,62462447;62462831,黄桷垭/南山,南山街道南山植物园路1号,景点,博物馆,106.617325,29.566675
双桂堂,重庆,重庆,梁平区,023,53378056,梁平区其他,金带镇双桂村,景点,宗教,107.706139,30.605478
四面山景区,重庆,重庆,江津区,023,47666888,江津区,四面山镇,景点,自然风光,106.410149,28.648182
龚滩景区,重庆,重庆,酉阳土家族苗族自治县,023,75677000;75706888,酉阳土家族苗族自治县其他,龚滩古镇207号,景点,古村古镇,108.351883,28.921663
涞滩古镇,重庆,重庆,合川区,023,42561888;42561777,合川区其他,涞滩镇涞兴街附近,景点,古村古镇,106.493164,30.174028
西沱古镇,重庆,重庆,石柱土家族自治县,023,,石柱土家族自治县其他,西沱镇石宝寨对面长江南岸,景点,古村古镇,108.220963,30.406971
洪安古镇,重庆,重庆,秀山土家族苗族自治县,023,,秀山土家族苗族自治县其他,洪安镇边城路与洪渡路交叉口,景点,古村古镇,109.272148,28.498735
东溪古镇,重庆,重庆,綦江区,023,,綦江区其他,东溪镇正街20号,景点,古村古镇,106.667419,28.759212
丰盛古镇,重庆,重庆,重庆,023,66431107;66431791,巴南区,丰盛镇政府附近,景点,古村古镇,106.935234,29.527716
芙蓉洞景区,重庆,重庆,武隆区,023,77742278;77741475,武隆区其他,江口镇,景点,自然风光,107.909874,29.219912
巴渝民俗文化村,重庆,重庆,重庆,023,67823414,两路,双龙大道二支巷附近,景点,民俗文化村,106.627167,29.712151
武隆天生三桥,重庆,重庆,武隆区,023,77744555,仙女山景区,银杏大道仙女山镇天生三桥游客接待中心,景点,自然风光,107.805275,29.433573
刘伯承同志纪念馆,重庆,重庆,开州区,023,52222914,开州区其他,汉丰街道盛山社区781号,景点,纪念馆,108.41346,31.189569
融汇温泉,重庆,重庆,重庆,023,65269999,沙坪坝区,汇泉路6号（近三峡广场）,景点,温泉,106.439613,29.541491
龙水峡地缝景区,重庆,重庆,武隆区,023,77790777;4008023666,仙女山景区,仙女镇银杏大道32号,景点,自然风光,107.793304,29.398178
白帝城·瞿塘峡景区,重庆,重庆,奉节县,023,85991001,奉节县其他,瞿塘峡口长江北岸白帝城风景区,景点,自然风光,109.574806,31.042681
宝轮寺,重庆,重庆,重庆,023,,磁器口,沙滨路磁器口景区内,景点,宗教,106.452408,29.582237
重庆历史名人馆,重庆,重庆,重庆,023,63103378;63103217,大坪,经纬大道康德国际写字楼2幢18楼,景点,陈列馆,106.517708,29.542931
红岩魂广场,重庆,重庆,重庆,023,,歌乐山,中心部,景点,广场,106.444633,29.572027
长江索道景区,重庆,重庆,重庆,023,68816888,解放碑,新华路151号,景点,城市观光,106.587357,29.55592
荷花山庄,重庆,重庆,大足区,023,43784220,大足区,宝顶镇香山大道,景点,更多景点/周边游,105.762794,29.743681
佛图关公园,重庆,重庆,重庆,023,,渝中区,化龙桥街道长江一路鹅颈巷8号,景点,文化公园,106.526985,29.547606
金观地下商业街,重庆,重庆,重庆,023,67953655,观音桥,观音桥步行街,景点,步行街,106.532084,29.575614
