名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
春秋旅行社,山东,青岛,青岛,0532,81115505,湛山/太平角,香港西路19号金丽华大厦2层209室,景点,旅行社,120.360193,36.054863
港中旅国际旅行社,山东,青岛,青岛,0532,85881111,麦凯乐,漳州二路19号中环大厦29楼,景点,旅行社,120.399624,36.067014
青岛啤酒博物馆,山东,青岛,青岛,0532,4001691903,台东步行街,登州路56号,景点,博物馆,120.347115,36.079082
青岛雕塑艺术馆,山东,青岛,青岛,0532,88707755,石老人海水浴场商圈,金家岭街道东海东路66号,景点,美术馆,120.453941,36.078114
青岛消防博物馆,山东,青岛,青岛,0532,66577216,浮山所/中联广场,金湖路16号,景点,博物馆,120.384346,36.079144
青岛海洋科技馆,山东,青岛,青岛,0532,82868088,湛山/太平角,莱阳路2号,景点,科技馆,120.335382,36.057497
胶州市博物馆,山东,青岛,胶州市,0532,87213148,新城区,兰州东路99号,景点,博物馆,120.012527,36.254642
仰口海水浴场,山东,青岛,青岛,0532,,崂山风景区,崂山景区旅游专用路东,景点,海滨沙滩,120.669502,36.239105
老舍公园,山东,青岛,青岛,0532,,火车站/团岛,安徽路19号,景点,纪念公园,120.32196,36.065704
南山公园,山东,青岛,青岛,0532,,小村庄,鞍山二路北端,景点,公园/广场,120.365311,36.103413
青岛市音乐广场,山东,青岛,青岛,0532,83886355,世贸中心,澳门路12号,景点,广场,120.381088,36.058384
柳湖公园,山东,青岛,青岛,0532,,老黄岛,崇明岛西路144号,景点,公园/广场,120.211922,36.036938
海滨雕塑园,山东,青岛,青岛,0532,88707755,石老人海水浴场商圈,东海东路66号,景点,展览馆,120.454758,36.079834
山头公园,山东,青岛,青岛,0532,,浮山后,同乐三路2号浮山后六小区,景点,公园/广场,120.424088,36.099659
青岛海滨风景区小鱼山,山东,青岛,青岛,0532,82868532,湛山/太平角,福山支路24号,景点,自然风光,120.336555,36.058765
观象山公园,山东,青岛,青岛,0532,,火车站/团岛,江苏路街道观象二路21号,景点,公园/广场,120.326744,36.070244
北海公园,山东,青岛,青岛,0532,86915801,老黄岛,刘公岛路264号,景点,公园/广场,120.21064,36.041695
灵山湾海滨公园,山东,青岛,青岛,0532,,黄岛区,隐珠街道滨海大道1388号,景点,公园/广场,120.065376,35.883194
胶州公园,山东,青岛,胶州市,0532,87213435,胶州路,胶州东路26号,景点,公园/广场,120.020187,36.29129
环湖公园,山东,青岛,青岛,0532,,浮山后,浮山新区街道劲松三路南段距银川西路200米路东,景点,公园/广场,120.419807,36.097279
青岛市海泊河公园,山东,青岛,青岛,0532,83716454,小村庄,阜新路街道康宁路1号,景点,公园/广场,120.356369,36.095898
青岛海底世界,山东,青岛,青岛,0532,82892187,湛山/太平角,莱阳路2号,景点,海洋馆,120.335915,36.056992
贮水山儿童公园,山东,青岛,青岛,0532,83800358,儿童公园/青岛港,辽宁路280号,景点,公园/广场,120.336555,36.079895
海滨公园,山东,青岛,青岛,0532,158****8851,老黄岛,崇明寺岛东路前湾小区旁,景点,公园/广场,120.224983,36.044579
信号山公园,山东,青岛,青岛,0532,66991166,火车站/团岛,龙山路16甲,景点,自然风光,120.331558,36.066444
鲁迅公园,山东,青岛,青岛,0532,82868471;82860760,湛山/太平角,琴屿路1号,景点,公园/广场,120.332672,36.054775
嘉定山公园,山东,青岛,青岛,0532,,海琴广场,上饶路北首,景点,公园/广场,120.373993,36.111977
北岭山森林公园,山东,青岛,青岛,0532,84851988,水清沟,四流南路7号,景点,森林公园,120.370178,36.119682
榉林公园,山东,青岛,青岛,0532,,台东步行街,太平山路1号,景点,公园/广场,120.356987,36.070484
青岛中山公园,山东,青岛,青岛,0532,82870564,湛山/太平角,文登路28号,景点,城市公园,120.350418,36.064396
汇泉广场,山东,青岛,青岛,0532,82865777,湛山/太平角,文登路1号,景点,广场,120.345604,36.058384
青岛世纪广场,山东,青岛,青岛,0532,,丽达购物中心,金家岭街道秦岭路18号正北方向190米,景点,广场,120.47039,36.104061
青岛森林野生动物世界,山东,青岛,青岛,0532,86835555,黄岛区,小珠山路灵珠山风景区内,景点,野生动物园,120.058121,35.981754
青岛奥林匹克雕塑文化园,山东,青岛,青岛,0532,87759871,世纪公园,兴阳路318号,景点,文化公园,120.395195,36.285938
青岛动物园,山东,青岛,青岛,0532,82872970,湛山/太平角,延安一路102号,景点,动物园,120.350166,36.069698
百花苑,山东,青岛,青岛,0532,82862461,湛山/太平角,延安一路55号,景点,城市公园,120.345009,36.065712
青岛植物园,山东,青岛,青岛,0532,83861640,湛山/太平角,郧阳路7号,景点,植物园,120.361794,36.061417
青岛市革命烈士纪念馆,山东,青岛,青岛,0532,83861236;83863750,湛山/太平角,芝泉路6号,景点,烈士陵园,120.363182,36.066578
崂山风景区,山东,青岛,青岛,0532,96616,崂山风景区,崂山游客接待中心,景点,自然风光,120.61911,36.184719
八大关景区,山东,青岛,青岛,0532,136****6596,湛山/太平角,武胜关支路10号,景点,步行街,120.351067,36.053432
马山国家级自然保护区,山东,青岛,青岛,0532,86657899,即墨区,蓝鳌路马山公园 游客服务中心,景点,自然风光,120.381584,36.398228
薛家岛,山东,青岛,青岛,0532,,开发区,胶州湾西海岸黄岛区境内和团岛之间,景点,自然风光,120.220352,35.96051
青岛海滨风景区,山东,青岛,青岛,0532,82872937,湛山/太平角,八大关街道京山路11号,景点,自然风光,120.361374,36.060104
灵山岛风景区,山东,青岛,青岛,0532,83172167,黄岛区,东南灵山湾中,景点,自然风光,120.173096,35.760132
大泽山风景名胜区,山东,青岛,平度市,0532,,平度市,大泽山镇大泽山旅游风景区,景点,自然风光,120.015668,36.999859
栈桥景区,山东,青岛,青岛,0532,82884548,火车站/团岛,太平路12号,景点,历史建筑,120.31926,36.061703
青岛第三海水浴场,山东,青岛,青岛,0532,66577319;131****1111,湛山/太平角,湛山五路3号（近太平角四路）,景点,海滨沙滩,120.366142,36.050327
金麒玉麟温泉山庄,山东,青岛,青岛,0532,86576666,海泉湾度假区,温泉街道办事处大田路2777号,景点,温泉,120.66156,36.455521
阳光168国际旅行社,山东,青岛,青岛,0532,131****8650,儿童公园/青岛港,市场二路36号银河金星大厦8楼808,景点,旅行社,120.320218,36.074418
湛山寺,山东,青岛,青岛,0532,83862038,湛山/太平角,芝泉路2号,景点,宗教,120.364479,36.064987
五四广场,山东,青岛,青岛,0532,83886355,万象城,东海西路,景点,广场,120.383888,36.064484
青岛海昌极地海洋公园,山东,青岛,青岛,0532,85909999;80999777,极地海洋世界,东海东路60号,景点,主题乐园,120.442665,36.06921
青岛金沙滩,山东,青岛,青岛,0532,86707399,金沙滩风景区,薛家岛金沙滩路,景点,海滨沙滩,120.245132,35.957211
贝雕艺术馆,山东,青岛,青岛,0532,83873162,湛山/太平角,延安三路206号,景点,美术馆,120.370979,36.067719
石老人观光园,山东,青岛,青岛,0532,88890758,石老人海水浴场商圈,崂山路1号（近香港东路）,景点,自然风光,120.507484,36.098389
青岛市文化市场,山东,青岛,青岛,0532,,儿童公园/青岛港,华阳路街道辽宁路65号（近昌乐路）,景点,步行街,120.344551,36.083893
奥林匹克帆船中心,山东,青岛,青岛,0532,58617777,麦凯乐,澳门路121号,景点,城市观光,120.394585,36.056145
鹤山风景区,山东,青岛,青岛,0532,86555016,即墨区,鳌山卫镇鹤山风景区,景点,自然风光,120.630684,36.3396
月湖公园,山东,青岛,莱西市,0532,88485388,月湖圈,文化路17号,景点,公园/广场,120.528664,36.859219
马濠公园,山东,青岛,青岛,0532,,马濠公园,开发区井冈山路,景点,公园/广场,120.187065,35.964622
九水游览区,山东,青岛,青岛,0532,87053351;96616,崂山风景区,北宅街道,景点,自然风光,120.60807,36.210445
青岛大珠山景区,山东,青岛,青岛,0532,85131271;84123456,黄岛区,山川路1177号,景点,自然风光,119.979759,35.791416
青岛市博物馆,山东,青岛,青岛,0532,88896286,丽达购物中心,梅岭东路51号,景点,博物馆,120.473114,36.101532
沈从文故居,山东,青岛,青岛,0532,,湛山/太平角,福山路3号,景点,名人故居,120.341156,36.064297
闻一多故居,山东,青岛,青岛,0532,82032666,湛山/太平角,鱼山路5号海洋大学内,景点,名人故居,120.337975,36.067581
平度市博物馆,山东,青岛,平度市,0532,87363114,平度市,红旗路91号,景点,博物馆,119.957359,36.786762
李村公园,山东,青岛,青岛,0532,,李村公园,夏庄路126号,景点,公园/广场,120.422539,36.168259
洪深故居,山东,青岛,青岛,0532,,湛山/太平角,福山路1号,景点,纪念馆,120.340996,36.064743
老龙湾,山东,青岛,平度市,0532,,平度市,平度城东北十公里大泽山巨龙左爪臂腕处,景点,自然风光,119.953857,36.918247
天井山,山东,青岛,青岛,0532,,即墨区,龙山街道龙山风景区,景点,自然风光,120.537073,36.382103
青岛葡萄酒博物馆,山东,青岛,青岛,0532,82727866-8008;82718388-8008,台东步行街,延安一路68号,景点,博物馆,120.347847,36.072517
梁实秋故居,山东,青岛,青岛,0532,,湛山/太平角,鱼山路33号,景点,纪念馆,120.33271,36.061298
德国警察署旧址,山东,青岛,青岛,0532,,火车站/团岛,湖北路29号,景点,古代遗迹,120.316032,36.06599
海滨旅馆旧址,山东,青岛,青岛,0532,,湛山/太平角,南海路23号,景点,古代遗迹,120.341148,36.058422
第一海水浴场,山东,青岛,青岛,0532,82963355,湛山/太平角,南海路14号,景点,海滨沙滩,120.341431,36.057182
超逸国际旅行社有限公司,山东,青岛,青岛,0532,186****7709;186****9987,火车站/团岛,云南路街道泰安路15号甲,景点,旅行社,120.308927,36.063367
纺织博物馆,山东,青岛,青岛,0532,82810632;159****6572,水清沟,四流南路80号,景点,博物馆,120.379211,36.145149
元宝湖公园,山东,青岛,青岛,0532,,新利群商场,嵩山二路666号,景点,公园/广场,120.430695,36.393795
生肖公园,山东,青岛,青岛,0532,,老黄岛,大公岛路与灵山岛街交叉口东南100米,景点,公园/广场,120.223488,36.043941
即墨水上公园,山东,青岛,青岛,0532,,新利群商场,蓝鳌路1433号,景点,公园/广场,120.423218,36.389832
温泉公园,山东,青岛,青岛,0532,,海泉湾度假区,新兴路,景点,公园/广场,120.657646,36.440918
楼山公园,山东,青岛,青岛,0532,,李沧区,四流北路,景点,公园/广场,120.385911,36.197317
水清沟公园,山东,青岛,青岛,0532,,水清沟,四流南路109号,景点,公园/广场,120.373848,36.136338
双珠公园,山东,青岛,青岛,0532,86616650;86616650,双珠路/珠海路,珠海路6号,景点,公园/广场,119.987385,35.867708
西山公园,山东,青岛,莱西市,0532,,莱西市,区西北10公里大沽河上游处,景点,公园/广场,120.456078,36.931103
锦绣公园,山东,青岛,莱西市,0532,,姜山/莱西姜山汽车站,杭州路,景点,公园/广场,120.525597,36.673569
徐福公园,山东,青岛,青岛,0532,,黄岛区,海城路13号正西方向80米,景点,公园/广场,119.857464,35.689142
辛家庄北山公园,山东,青岛,青岛,0532,,麦凯乐,莆田路6号,景点,公园/广场,120.411545,36.072693
墨河公园,山东,青岛,青岛,0532,88512892,即墨区,烟青路557号,景点,公园/广场,120.450249,36.385548
中国旅行社城阳裕阳营销中心,山东,青岛,青岛,0532,84780000,平阳路,街道崇阳路496号6楼A号,景点,旅行社,120.38265,36.29901
昊海旅行社,山东,青岛,青岛,0532,85173387,双珠路/珠海路,珠海东路163号光大商务中心,景点,旅行社,120.035689,35.874719
青华旅行社,山东,青岛,青岛,0532,82978144,火车站/团岛,曲阜路22号百盛商业大厦1511,景点,旅行社,120.318038,36.066452
金汇旅行社,山东,青岛,青岛,0532,86995752,长江路沿线,阿里山路128号鲁海丰大酒店1楼,景点,旅行社,120.19504,35.955717
惠国旅行社,山东,青岛,青岛,0532,82660288,中央商务区,巫峡路29号,景点,旅行社,120.38059,36.09317
中侨旅行,山东,青岛,平度市,0532,88398118,维客/百货大楼,红旗路125号,景点,旅行社,119.951619,36.786489
海川旅行社,山东,青岛,青岛,0532,137****7587,麦凯乐,漳州一路40号（近佳世客步行街）,景点,旅行社,120.39946,36.06942
尚智旅行社,山东,青岛,青岛,0532,,市南区,大尧三路13号,景点,旅行社,120.403421,36.075531
黄海旅行社,山东,青岛,青岛,0532,82869488,湛山/太平角,延安一路75号黄海饭店118房,景点,旅行社,120.342633,36.060533
招商国际旅行社,山东,青岛,青岛,0532,81111117,湛山/太平角,香港西路19号金丽华大厦310号,景点,旅行社,120.36018,36.05483
中国旅行社总社,山东,青岛,平度市,0532,88330666,平度市,红旗路5921号,景点,旅行社,119.965921,36.787171
中国国际旅行社,山东,青岛,青岛,0532,83879716,湛山/太平角,湛山街道香港西路63号裕源大厦6楼,景点,旅行社,120.3716,36.059786
中国国际旅行社,山东,青岛,青岛,0532,186****5218,麦凯乐,香港中路32号（近市政府）,景点,旅行社,120.389586,36.065176
青岛市科技馆,山东,青岛,青岛,0532,80911521,火车站/团岛,中山路3号,景点,科技馆,120.319366,36.063408
束星北故居,山东,青岛,青岛,0532,,湛山/太平角,鱼山路36号,景点,名人故居,120.331612,36.06073
山左银行旧址,山东,青岛,青岛,0532,,火车站/团岛,中山路64-66号,景点,古代遗迹,120.318181,36.067241
张玺故居,山东,青岛,青岛,0532,,湛山/太平角,莱阳路28号,景点,名人故居,120.329803,36.058296
萧军萧红舒群故居,山东,青岛,青岛,0532,,火车站/团岛,观象一路1号,景点,纪念馆,120.329354,36.069514
坂井贞一宅第旧址,山东,青岛,青岛,0532,,火车站/团岛,太平路23号,景点,古代遗迹,120.326829,36.061499
华岗故居,山东,青岛,青岛,0532,,汇泉湾商圈,龙口路40号,景点,纪念馆,120.328926,36.064499
冯沅君陆侃如故居,山东,青岛,青岛,0532,,湛山/太平角,鱼山路36号,景点,名人故居,120.331612,36.06073
胶海关旧址,山东,青岛,青岛,0532,,儿童公园/青岛港,新疆路16号,景点,古代遗迹,120.324074,36.084099
崔子范艺术馆,山东,青岛,莱西市,0532,88473069,月湖圈,文化东路9号,景点,美术馆,120.533348,36.857018
孔维克艺术馆,山东,青岛,青岛,0532,85880098,麦凯乐,香港中路132号乙,景点,美术馆,120.417501,36.065291
童第周故居,山东,青岛,青岛,0532,,湛山/太平角,八大关街道鱼山路36号,景点,名人故居,120.331345,36.060799
