名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
上海鲁迅纪念馆,上海,上海,上海,021,65402288,虹口足球场/鲁迅公园,甜爱路200号,景点,纪念馆,121.48455,31.266069
民间民俗藏筷馆,上海,上海,上海,021,56717528,四川北路/海伦路,多伦路191号,景点,展览馆,121.481674,31.263515
南京钟藏室,上海,上海,上海,021,56964048,四川北路/海伦路,多伦路多伦路201弄小区,景点,博物馆,121.48159,31.263519
文博堂,上海,上海,上海,021,56668801,四川北路/海伦路,多伦路161号,景点,博物馆,121.481613,31.262938
淮海公园,上海,上海,上海,021,63866377,淮海路,淮海中路177号,景点,城市公园,121.477539,31.223061
陆家嘴中心绿地,上海,上海,上海,021,58875487,陆家嘴,陆家嘴环路717号,景点,城市公园,121.50621,31.238029
绍兴公园,上海,上海,上海,021,64377615,瑞金宾馆区,绍兴路62号,景点,城市公园,121.463448,31.209446
襄阳公园,上海,上海,上海,021,54042208,音乐学院/五官科医院,淮海中路1008号,景点,公园/广场,121.456734,31.216991
徐家汇公园,上海,上海,上海,021,64833541,徐家汇,肇嘉浜路889号,景点,城市公园,121.442574,31.197441
七宝老街,上海,上海,上海,021,64615308;64610016,七宝,青年路与横沥路交叉口南侧,景点,步行街,121.355641,31.152722
人民广场,上海,上海,上海,021,137****2878,人民广场/南京路,人民大道120号,景点,广场,121.476196,31.229654
外滩,上海,上海,上海,021,4000998998,外滩,中山东一路（北至外白渡桥、南至十六铺码头）,景点,河道观光,121.492241,31.2335
上海特技城,上海,上海,崇明区,021,56850829,长兴岛,长兴岛先丰村,景点,游乐场,121.686005,31.390507
水上运动场,上海,上海,上海,021,64750889,青浦区,盈朱路289号,景点,水上项目/水上体验,121.006334,31.109441
宝钢集团国际旅行社,上海,上海,上海,021,56120997,宝山城区/吴淞,宝杨路889号宝学汇203A,景点,旅行社,121.48217,31.397891
茶恬园国际旅行社,上海,上海,上海,021,62723161,南京西路,江宁路445号9楼D座,景点,旅行社,121.452036,31.234728
