名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
阳光旅行社,广东,东莞,东莞,0769,83370888,横沥镇中心城区,横沥镇中山中路88号,景点,旅行社,113.970309,23.015359
东丫湖,广东,东莞,东莞,0769,,企石镇,企石镇东部工业园境内,景点,自然风光,114.054772,23.053672
榴花公园,广东,东莞,东莞,0769,22618377,榴花公园,莞龙路,景点,公园/广场,113.81665,23.083143
水濂山森林公园,广东,东莞,东莞,0769,22678983,南城街道,水濂社区水濂公园路18号,景点,森林公园,113.761269,22.925762
西湖乐园,广东,东莞,东莞,0769,22403788,水濂山,西平村板岭西水库,景点,更多景点/周边游,113.757324,22.966248
马山仙境,广东,东莞,东莞,0769,,大岭山镇,府以西5公里百花洞村,景点,自然风光,113.78949,22.903353
同沙生态公园,广东,东莞,东莞,0769,22675268,东城街道,东城街道莞长路383号,景点,自然风光,113.802444,22.965548
威远炮台,广东,东莞,东莞,0769,85527154;85512065,威远,虎门镇南面村（威远岛南山前偏西南海滩处）,景点,古代遗迹,113.625221,22.795712
隐贤山庄,广东,东莞,东莞,0769,4000266333,隐贤山庄酒店,隐贤山庄大道8号,景点,主题乐园,114.025276,22.974623
袁崇焕纪念园,广东,东莞,石碣镇,0769,86300160;86300062,石碣镇中心城区,崇焕路212号,景点,纪念公园,113.836189,23.103777
虎门林则徐纪念馆,广东,东莞,东莞,0769,85197173,虎门镇,解放路113号,景点,纪念馆,113.660583,22.824671
宝潭康王庙,广东,东莞,石排镇,0769,,石排镇,上宝谭9巷16号正北方向160米,景点,宗教,113.924686,23.095706
塘尾明清古村落,广东,东莞,石排镇,0769,86527111,石排镇,石排镇塘尾村,景点,古村古镇,113.924957,23.080553
迎恩门城楼,广东,东莞,东莞,0769,22246938,西城楼/文化广场,西正路口,景点,历史建筑,113.750549,23.042358
东莞市大岭山森林公园,广东,东莞,东莞,0769,85551004;81878896,虎门镇,怀德远丰村虎门主路口,景点,森林公园,113.759804,22.875076
东莞酷玩户外旅游俱乐部,广东,东莞,东莞,0769,22211159,花园新村,新河北路50号,景点,旅行社,113.755482,23.049962
粤晖园,广东,东莞,东莞,0769,88388888,道滘镇,粤晖路1号,景点,园林,113.629295,22.971865
东莞植物园,广东,东莞,东莞,0769,27380708,水濂山,绿色路99号,景点,植物园,113.748322,22.967613
银瓶嘴森林公园,广东,东莞,东莞,0769,,谢岗镇,和惠州市相接处东莞市东部,景点,森林公园,114.23024,22.902027
长安公园,广东,东莞,东莞,0769,85329816;85383639,长安广场,长安镇德政中路212号,景点,公园/广场,113.804756,22.816427
大岭山抗日根据地,广东,东莞,东莞,0769,85651155,大岭山镇,纵队路南七巷,景点,革命根据地,113.812866,22.880568
东莞科学馆,广东,东莞,东莞,0769,22119650,名汇城/人民公园,新芬路38号,景点,科技馆,113.756363,23.039988
大屏嶂森林公园,广东,东莞,东莞,0769,87289929,塘厦镇,大屏嶂森林公园,景点,森林公园,114.005806,22.793036
松山湖生态景区,广东,东莞,东莞,0769,22893029,松山湖,沁园路万科生活广场斜对面,景点,自然风光,113.892174,22.928778
长安广场,广东,东莞,东莞,0769,85317531,长安广场,德政中路60号,景点,广场,113.802727,22.812237
莞城美术馆,广东,东莞,东莞,0769,22100151,戴屋庄,高第街1号市民广场北楼,景点,美术馆,113.74984,23.039492
顺安旅游客运,广东,东莞,东莞,0769,4001188311,东城街道,莞长路光明路口东华高级中学高三校区29-30号铺,景点,旅行社,113.779961,22.989791
黄江人民公园,广东,东莞,东莞,0769,83602282,黄江嘉荣,鸡啼岗路9号,景点,城市公园,114.00853,22.906313
银瓶山森林公园,广东,东莞,东莞,0769,82116868;82103993,谢岗镇,南面村,景点,森林公园,114.23024,22.902027
