名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
红山公园,新疆,乌鲁木齐,乌鲁木齐,0901,8855671,红山路,红山路北一巷40号,景点,城市公园,87.605087,43.80872
鲤鱼山公园,新疆,乌鲁木齐,乌鲁木齐,0901,4323627,小西沟,高新街街道鲤鱼山南路177号,景点,公园/广场,87.580231,43.851063
乌鲁木齐盛贝特海洋馆,新疆,乌鲁木齐,乌鲁木齐,0901,2894194,天山区,燕儿窝路2号,景点,海洋馆,87.61158,43.761768
水磨沟公园,新疆,乌鲁木齐,乌鲁木齐,0901,4684055,水磨沟公园,水磨沟路472号,景点,自然风光,87.65773,43.827564
儿童公园,新疆,乌鲁木齐,乌鲁木齐,0901,4820934;4817205,新医路,红庙子街道友好北路29号,景点,公园/广场,87.581177,43.83268
达坂城风力发电站,新疆,乌鲁木齐,乌鲁木齐,0901,,达坂城区,柴窝堡吐乌大高速公路,景点,更多景点/周边游,87.861427,43.572002
柴窝堡湖,新疆,乌鲁木齐,乌鲁木齐,0901,,达坂城区,达坂城谷地中,景点,自然风光,87.904182,43.520988
新疆民俗风情街,新疆,乌鲁木齐,乌鲁木齐,0901,,南门,解放南路37号,景点,步行街,87.61898,43.790421
雅玛里克山,新疆,乌鲁木齐,乌鲁木齐,0901,7960065,沙依巴克区,宝塔路雅玛里克山,景点,自然风光,87.573776,43.798801
亚洲大陆地理中心,新疆,乌鲁木齐,乌鲁木齐县,0901,4812005,乌鲁木齐县其他,永丰乡永新村,景点,更多景点/周边游,87.336678,43.685326
丝绸之路国际滑雪场,新疆,乌鲁木齐,乌鲁木齐县,0901,5911111,乌鲁木齐县其他,水西沟镇平西梁村二队丝绸之路国际度假区,景点,滑雪场,87.414688,43.441978
南大寺,新疆,乌鲁木齐,乌鲁木齐,0901,,国际大巴扎,解放南路23号,景点,宗教,87.616669,43.78027
陕西大寺,新疆,乌鲁木齐,乌鲁木齐,0901,4532488,文化路,和平路永和正巷10号,景点,宗教,87.621078,43.789303
五彩湾风景区,新疆,乌鲁木齐,乌鲁木齐,0901,2782200,米东区,吉木萨尔县城以北100余公里古尔班通古特沙漠,景点,自然风光,87.891708,44.911762
港中旅国际新疆旅行社,新疆,乌鲁木齐,乌鲁木齐,0901,2329852,红旗路,红旗路夏蒙大厦6层,景点,旅行社,87.616631,43.794643
新疆天山野生动物园,新疆,乌鲁木齐,乌鲁木齐,0901,5916208;5916608,达坂城区,窝尔图路天山牧场五队,景点,动物园,87.806671,43.677551
东来西游旅行社,新疆,乌鲁木齐,乌鲁木齐,0901,5166171,大湾,富康街693号,景点,旅行社,87.650018,43.769219
红光山景区,新疆,乌鲁木齐,乌鲁木齐,0901,4889169;4889777,亚欧国际会展中心,红光山路一号,景点,自然风光,87.624298,43.891663
青海大寺,新疆,乌鲁木齐,乌鲁木齐,0901,3990535,文化路,和平南路263号,景点,宗教,87.621605,43.785801
一号冰川,新疆,乌鲁木齐,乌鲁木齐县,0901,4613731,乌鲁木齐县其他,萨尔达坂乡216国道,景点,自然风光,86.845741,43.112385
明园,新疆,乌鲁木齐,乌鲁木齐,0901,4298990,友好北路,友好南路与明园西路交叉口旁,景点,更多景点/周边游,87.591995,43.817993
7坊街,新疆,乌鲁木齐,乌鲁木齐,0901,,温泉路,温泉西路640号,景点,创意园区,87.656601,43.835751
人民广场,新疆,乌鲁木齐,乌鲁木齐,0901,2833818,东风路,金融东街58号,景点,广场,87.624199,43.795219
河州清真大寺,新疆,乌鲁木齐,乌鲁木齐,0901,,红旗路,建中路92号,景点,宗教,87.620628,43.788586
中国工农红军西路军总支队纪念馆,新疆,乌鲁木齐,乌鲁木齐,0901,8823045;8881439,东风路,西后街37号,景点,纪念馆,87.629776,43.802464
北坊清真寺,新疆,乌鲁木齐,乌鲁木齐,0901,2057220,红旗路,人民路181号,景点,宗教,87.614586,43.791618
凤翔寺,新疆,乌鲁木齐,乌鲁木齐,0901,,红旗路,中山路289号,景点,宗教,87.615982,43.794353
汗腾格里大寺,新疆,乌鲁木齐,乌鲁木齐,0901,8667777,红旗路,解放南路31号,景点,宗教,87.618645,43.790543
兰州寺,新疆,乌鲁木齐,乌鲁木齐,0901,8163299,幸福路,跃进街277号,景点,宗教,87.629959,43.785027
明德路基督教堂,新疆,乌鲁木齐,乌鲁木齐,0901,8818558,东风路,外环路出口与金银路交叉口西100米,景点,宗教,87.626892,43.792137
三屯碑清真寺,新疆,乌鲁木齐,乌鲁木齐,0901,135****2605,新疆大学,胜利路629号,景点,宗教,87.612282,43.765408
体育公园,新疆,乌鲁木齐,乌鲁木齐,0901,4380222,东风路,东环路206号,景点,公园/广场,87.633842,43.793625
天主教堂,新疆,乌鲁木齐,乌鲁木齐,0901,3889111,中山路,和平南路98号,景点,宗教,87.624535,43.789352
新疆大学民街民俗博物馆,新疆,乌鲁木齐,乌鲁木齐,0901,,文化路,龙泉街349号,景点,博物馆,87.617569,43.785351
延安公园,新疆,乌鲁木齐,乌鲁木齐,0901,2712719,延安路,延安路358号,景点,公园/广场,87.623253,43.769611
巴里坤寺,新疆,乌鲁木齐,乌鲁木齐,0901,3989888,国际大巴扎,和平南路428号,景点,宗教,87.619797,43.781574
白大寺,新疆,乌鲁木齐,乌鲁木齐,0901,5833769,新疆民俗街,解放南路441号,景点,宗教,87.618813,43.783211
二道桥清真寺,新疆,乌鲁木齐,乌鲁木齐,0901,,新疆大学,和平南路505号,景点,宗教,87.61879,43.779778
宁固大寺,新疆,乌鲁木齐,乌鲁木齐,0901,,国际大巴扎,和平南路453号,景点,宗教,87.619438,43.781059
乌鲁木齐市博物馆,新疆,乌鲁木齐,乌鲁木齐,0901,6193619,南湖路,南湖南路123号,景点,博物馆,87.612854,43.821964
乌鲁木齐美术馆,新疆,乌鲁木齐,乌鲁木齐,0901,7655777,南湖路,南湖南路180号,景点,美术馆,87.613998,43.823402
永登寺,新疆,乌鲁木齐,乌鲁木齐,0901,8870488,文化路,和平南路207号,景点,宗教,87.623055,43.787601
南公园,新疆,乌鲁木齐,乌鲁木齐,0901,8555032,新疆大学,新华南路1689号,景点,公园/广场,87.606583,43.766544
鑫鹏旅游开发,新疆,乌鲁木齐,乌鲁木齐,0901,,新华南路,新华南路68号广汇大厦15楼L座,景点,旅行社,87.61114,43.77885
洋行清真寺,新疆,乌鲁木齐,乌鲁木齐,0901,6266808,新疆大学,胜利路143号,景点,宗教,87.61528,43.776043
石化公园,新疆,乌鲁木齐,乌鲁木齐,0901,2052600,米东区,大庆路和中盛街交口旁,景点,公园/广场,87.701202,43.956379
新疆古生态园汗血马基地,新疆,乌鲁木齐,乌鲁木齐,0901,3819369;3631358,小西沟,昆明路158号野马国际大厦停车场2号观光电梯4楼新疆古生态园,景点,自然保护区,87.576736,43.854073
米东区人民公园,新疆,乌鲁木齐,乌鲁木齐,0901,,米东区中心城区,古牧地镇古牧地西路353号,景点,城市公园,87.642899,43.968182
