名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
白鹿洞寺,福建,厦门,厦门,0592,2131499,中山路/轮渡,白鹿路5号玉屏山南侧,景点,宗教,118.089951,24.450029
白鹭洲公园,福建,厦门,厦门,0592,5082380,白鹭洲公园,白鹭洲路569号,景点,城市公园,118.093834,24.473696
北辰山景区,福建,厦门,厦门,0592,7232155,同安区,五显镇北辰山风景区,景点,自然风光,118.24176,24.792089
笔架山,福建,厦门,鼓浪屿,0592,,鼓浪屿,笔山路鼓浪屿内,景点,自然风光,118.065231,24.447603
陈嘉庚先生故居,福建,厦门,厦门,0592,6681600;6685986,石鼓路/集美学村,嘉庚路149号,景点,名人故居,118.102272,24.567909
锄山,福建,厦门,厦门,0592,,马巷,内厝镇,景点,自然风光,118.276787,24.66576
大轮山公园,福建,厦门,厦门,0592,,汀溪,大同街道梵天文化广场西侧,景点,公园/广场,118.156143,24.743666
前埔不夜城,福建,厦门,厦门,0592,5022596,环岛路沿线,莲前街道古兴里7号305室,景点,步行街,118.171822,24.467754
大溪山,福建,厦门,厦门,0592,,集美区,同安莲花镇及集美石兜水库之间,景点,自然风光,118.012513,24.699483
埭辽水库,福建,厦门,厦门,0592,,高崎机场,禾山街道埭辽公园（岐山北二路西150米）,景点,现代建筑,118.140457,24.531542
东芳山,福建,厦门,厦门,0592,,莲前大道/加州广场,莲前东路,景点,自然风光,118.148651,24.480223
厦门东坪山旅游度假区,福建,厦门,厦门,0592,5880607,火车站,观音山路东山社68-70号东坪山景区,景点,自然风光,118.124184,24.455107
梵天寺,福建,厦门,厦门,0592,7225879,汀溪,大同街道轮山路99号,景点,宗教,118.158473,24.740117
佛教居士林,福建,厦门,厦门,0592,,海沧区,南海路,景点,宗教,118.00657,24.48377
鼓浪屿钢琴博物馆,福建,厦门,鼓浪屿,0592,2060238;2570331,鼓浪屿,港仔后路7号菽庄花园内,景点,陈列馆,118.069794,24.438341
港仔后海滨浴场,福建,厦门,鼓浪屿,0592,2060777,鼓浪屿,港仔后路7号（近菽庄花园）,景点,海滨沙滩,118.068092,24.439692
观音山海滨旅游商业街,福建,厦门,厦门,0592,,软件园,塔埔,景点,步行街,118.197556,24.492758
仙岳观音寺,福建,厦门,厦门,0592,5101176,SM城市广场,仙岳路1279号,景点,宗教,118.122299,24.502913
灌口凤山庙,福建,厦门,厦门,0592,6099686,灌口/凤泉广场,凤山庙路,景点,宗教,117.993668,24.60667
归来堂,福建,厦门,厦门,0592,6681600,石鼓路/集美学村,嘉庚路与尚南路交叉口,景点,名人故居,118.101997,24.567331
归来园,福建,厦门,厦门,0592,,高崎火车站,归来堂南面,景点,自然风光,118.106468,24.532106
鬼仔坑水库,福建,厦门,厦门,0592,,环岛路沿线,黄厝路,景点,现代建筑,118.145775,24.444145
厦门海底世界,福建,厦门,鼓浪屿,0592,2067668;2571611,鼓浪屿,鼓浪屿龙头路2号,景点,海洋馆,118.071259,24.446148
厦门皓月园,福建,厦门,鼓浪屿,0592,2061777,鼓浪屿,鼓浪屿漳州路3号,景点,纪念公园,118.076012,24.44129
鸿山公园,福建,厦门,厦门,0592,2025696,厦门大学,思明南路331号,景点,公园/广场,118.086723,24.447102
狐尾山公园,福建,厦门,厦门,0592,5611171,市政府,气象台路,景点,城市公园,118.086266,24.483889
胡里山炮台,福建,厦门,厦门,0592,2088313,曾厝垵,曾厝垵路2号,景点,古代遗迹,118.106377,24.429541
湖里公园,福建,厦门,厦门,0592,6030729;6037092,湖里公园,湖里工业区牛公岭山麓华泰路32号,景点,公园/广场,118.106392,24.504471
虎溪岩,福建,厦门,厦门,0592,2021732,中山路/轮渡,虎溪岩路5号,景点,自然风光,118.091469,24.449699
华侨博物院,福建,厦门,厦门,0592,2084028,厦门大学,思明南路493号,景点,博物馆,118.090034,24.442108
基督教,福建,厦门,厦门,0592,,枋湖,江头绿州商厦对面,景点,宗教,118.145752,24.511799
基督教竹树堂,福建,厦门,厦门,0592,2017328,中山路/轮渡,开禾路129-135号,景点,宗教,118.074608,24.459782
集美海洋动物馆,福建,厦门,厦门,0592,,石鼓路/集美学村,银江路183号,景点,海洋馆,118.091736,24.577881
江头公园,福建,厦门,厦门,0592,5503033,SM城市广场,江头西路与屿浦路交汇处东边,景点,公园/广场,118.130661,24.495773
金榜公园,福建,厦门,厦门,0592,5535758,火车站,厦禾路,景点,公园/广场,118.110168,24.464792
京口岩山,福建,厦门,厦门,0592,,未来海岸,建港路,景点,自然风光,118.027214,24.457872
李林烈士纪念园,福建,厦门,厦门,0592,5318858,石鼓路/集美学村,鳌园路24号,景点,纪念公园,118.104507,24.564711
莲花佛心寺,福建,厦门,厦门,0592,7056289,同安区,莲美街厦门锦仔山生态乐园西530米,景点,宗教,118.044868,24.762657
莲花公园,福建,厦门,厦门,0592,5535758,莲花,凌香里7号,景点,公园/广场,118.12838,24.485657
莲花山,福建,厦门,厦门,0592,7062946,同安区,莲花镇后埔村,景点,自然风光,118.023769,24.791229
妙清寺,福建,厦门,厦门,0592,2036357,中山路/轮渡,墙顶巷28号,景点,宗教,118.083893,24.456753
南堤公园,福建,厦门,厦门,0592,,石鼓路/集美学村,集美街道龙船路,景点,公园/广场,118.097343,24.56328
南湖公园,福建,厦门,厦门,0592,5071683,南湖公园,筼筜街道湖光路12号,景点,公园/广场,118.106354,24.47859
普光寺,福建,厦门,厦门,0592,5987170,环岛路沿线,莲前西路447号之3号,景点,宗教,118.139297,24.477592
日光岩,福建,厦门,鼓浪屿,0592,2067284,鼓浪屿,晃岩路62号,景点,自然风光,118.067513,24.442188
荣光宝藏博物院,福建,厦门,厦门,0592,,环岛路沿线,胡里山海滨,景点,博物馆,118.106311,24.430301
三秀山,福建,厦门,厦门,0592,,同安区,673乡道,景点,自然风光,118.189621,24.807867
石峰岩寺,福建,厦门,厦门,0592,,新垵,海沧钟山村,景点,宗教,118.018967,24.506069
石室禅院,福建,厦门,厦门,0592,5817737,新垵,霞阳村,景点,宗教,118.022316,24.515358
菽庄花园,福建,厦门,鼓浪屿,0592,2067284,鼓浪屿,港后路7号,景点,园林,118.069649,24.438854
松柏公园,福建,厦门,厦门,0592,,体育中心,嘉莲街道松柏路,景点,公园/广场,118.124001,24.491003
松柏山,福建,厦门,厦门,0592,,塘边,湖里街道仙岳公园（南山路南）,景点,自然风光,118.120438,24.503166
苏颂故居,福建,厦门,厦门,0592,7122883,汽车站/城南,大同镇洗墨池23号,景点,纪念馆,118.157455,24.717749
苏颂科技馆,福建,厦门,厦门,0592,,同安老城区/钟楼,大同镇城西路80号,景点,科技馆,118.147209,24.731258
台湾民俗村,福建,厦门,厦门,0592,2560113,环岛路沿线,滨海街道黄厝路35号,景点,特色乡村,118.138069,24.432491
太清宫,福建,厦门,厦门,0592,2092459,曾厝垵,天泉路1号,景点,历史建筑,118.13208,24.424917
汀溪窑址,福建,厦门,厦门,0592,,汀溪,汀溪水库东侧,景点,古代遗迹,118.140268,24.790544
乌营寨山,福建,厦门,厦门,0592,,翔安区,内厝镇,景点,自然风光,118.312653,24.695263
仙洞天界寺,福建,厦门,厦门,0592,2031582,环岛路沿线,开元街道天界路3号,景点,宗教,118.09668,24.450157
仙岳公园,福建,厦门,厦门,0592,,体育中心,侨岳路,景点,公园/广场,118.103455,24.498161
仙岳山,福建,厦门,厦门,0592,,体育中心,湖滨东路,景点,自然风光,118.106956,24.492231
香山,福建,厦门,厦门,0592,138****3108,软件园,莲前街道环岛东路渔之村附近,景点,自然风光,118.199455,24.481861
杏东公园,福建,厦门,厦门,0592,6079464,杏南/月美池公园,杏林街道杏林东路32号,景点,公园/广场,118.049713,24.561916
薛岭山公园,福建,厦门,厦门,0592,,金尚/祥店,金尚路,景点,城市公园,118.145851,24.505596
延平故垒,福建,厦门,厦门,0592,,石鼓路/集美学村,集美游泳池东北面,景点,更多景点/周边游,118.104317,24.564777
燕尾山生态公园,福建,厦门,鼓浪屿,0592,,鼓浪屿,鼓浪屿街道延平路与燕尾路交叉口西北150米,景点,自然风光,118.065338,24.451294
养真宫,福建,厦门,厦门,0592,,思北路口,鹭江街道养真宫巷32号,景点,宗教,118.080917,24.458311
影视娱乐城,福建,厦门,厦门,0592,,汀溪,五显镇东溪河两岸,景点,影视基地,118.17128,24.746719
厦门市园林植物园,福建,厦门,厦门,0592,2024785,环岛路沿线,万石山风景区内虎园路25号,景点,植物园,118.109322,24.448437
云顶山,福建,厦门,厦门,0592,,汀溪,北部,景点,自然风光,118.155426,24.892902
筼筜内湖,福建,厦门,厦门,0592,,市政府,筼筜街道湖滨中路白鹭洲站旁,景点,自然风光,118.101341,24.478437
中山公园,福建,厦门,厦门,0592,2910888,中山公园,公园东路,景点,公园/广场,118.090088,24.459141
鼓浪屿,福建,厦门,鼓浪屿,0592,2053370,鼓浪屿,永春路鼓浪屿,景点,自然风光,118.06752,24.44409
椰风寨,福建,厦门,厦门,0592,,环岛路沿线,环岛路会展中心旁,景点,更多景点/周边游,118.161819,24.442575
钟鼓索道,福建,厦门,厦门,0592,2039368,环岛路沿线,虎园路25-110号,景点,城市观光,118.094116,24.452745
集美学村,福建,厦门,厦门,0592,5318858,石鼓路/集美学村,银江路183号,景点,更多景点/周边游,118.092804,24.566137
假日欢乐谷,福建,厦门,厦门,0592,5814861,火车站,思明南路中岸巷8号136店面,景点,更多景点/周边游,118.119522,24.472309
同安蝴蝶谷,福建,厦门,厦门,0592,,汀溪,汀溪镇荏畲村,景点,自然风光,118.076202,24.837063
野山谷景区,福建,厦门,厦门,0592,7551666,同安区,莲花镇小坪,景点,自然风光,118.049469,24.8738
梅海岭,福建,厦门,厦门,0592,,环岛路沿线,文屏山庄后面,景点,自然风光,118.12809,24.448437
海韵休闲游乐景区,福建,厦门,厦门,0592,2566766,环岛路黄厝海滨浴场,黄厝环岛路,景点,更多景点/周边游,118.152306,24.436255
海天堂构,福建,厦门,鼓浪屿,0592,2570510,鼓浪屿,鼓浪屿福建路38号,景点,历史建筑,118.072937,24.442991
一国两制沙滩,福建,厦门,厦门,0592,,环岛路沿线,滨海街道环岛路会展中心往西,景点,海滨沙滩,118.172501,24.450661
鼓浪屿大德记海水浴场,福建,厦门,鼓浪屿,0592,,鼓浪屿,漳州路3之2号,景点,海滨沙滩,118.075127,24.440107
厦门风琴博物馆,福建,厦门,鼓浪屿,0592,2061377,鼓浪屿,鼓浪屿复兴路69号,景点,博物馆,118.073776,24.44149
新街堂,福建,厦门,厦门,0592,2072383,中山路/轮渡,中华街道台光街29号,景点,宗教,118.082214,24.453457
环岛路海滩,福建,厦门,厦门,0592,,观音山,环岛路沿线海滩,景点,海滨沙滩,118.198029,24.505993
中山路步行街,福建,厦门,厦门,0592,,中山路/轮渡,中山路56号,景点,步行街,118.07946,24.453924
书法广场,福建,厦门,厦门,0592,,环岛路沿线,环岛路书法广场,景点,广场,118.118927,24.427658
五缘大桥,福建,厦门,厦门,0592,,五缘湾,环岛东路五缘大桥,景点,更多景点/周边游,118.17569,24.53957
白城沙滩,福建,厦门,厦门,0592,,环岛路沿线,滨海街道大学路（环岛南路附近）,景点,海滨沙滩,118.10479,24.430853
海沧大桥,福建,厦门,厦门,0592,5828668,东渡/国际邮轮中心,东渡路牛头山1号,景点,更多景点/周边游,118.08165,24.493292
珍珠湾,福建,厦门,厦门,0592,2513571,曾厝垵,环岛路曾厝垵,景点,自然风光,118.125526,24.425934
德安古堡,福建,厦门,厦门,0592,7158155,汀溪,汀溪镇五峰村,景点,人文古迹,118.163597,24.849791
双龙潭生态运动景区,福建,厦门,厦门,0592,6097977,集美区,灌口镇坑内村,景点,动植物园,117.951981,24.61138
货币文化馆,福建,厦门,鼓浪屿,0592,2066356,鼓浪屿,鼓浪屿晃岩路30号,景点,展览馆,118.070206,24.442398
厦门烈士陵园,福建,厦门,厦门,0592,2038824,环岛路沿线,开元街道文园路103号,景点,烈士陵园,118.093597,24.454868
鼓浪屿国际刻字艺术馆,福建,厦门,鼓浪屿,0592,2068251,鼓浪屿,福州路20号,景点,陈列馆,118.069809,24.447289
基督教复兴堂,福建,厦门,鼓浪屿,0592,,鼓浪屿,复兴路2号,景点,宗教,118.074425,24.443533
海上明珠观光塔,福建,厦门,厦门,0592,5595353;139****6581,东渡/国际邮轮中心,气象台路85号,景点,高空观景,118.084953,24.482077
音乐广场?,福建,厦门,厦门,0592,,环岛路沿线,滨海街道环岛南路318号,景点,广场,118.129471,24.423721
黄金海岸环岛路,福建,厦门,厦门,0592,,环岛路沿线,曾厝垵西路与环岛南路交叉口东南150米,景点,更多景点/周边游,118.115517,24.428223
梦之岛主题公园,福建,厦门,厦门,0592,5053950,市政府,筼筜街道湖光路（南湖公园）,景点,主题乐园,118.105133,24.478737
厦门儿童公园,福建,厦门,厦门,0592,186****5855,海裕路,沧湖东2里125号,景点,公园/广场,118.038628,24.48617
牛头山,福建,厦门,厦门,0592,5828668,东渡/国际邮轮中心,东渡路127之17号,景点,公园/广场,118.081497,24.493645
双溪公园,福建,厦门,厦门,0592,,同安老城区/钟楼,大同镇同新路95号,景点,城市公园,118.15287,24.72752
假日海岸休闲娱乐景区,福建,厦门,厦门,0592,2568666,环岛路黄厝海滨浴场,黄厝环岛路示范路段之二,景点,自然风光,118.154175,24.437035
天竺岩寺,福建,厦门,厦门,0592,5369277,体育中心,莲岳路北段,景点,宗教,118.109428,24.499454
大景源农业旅游度假区,福建,厦门,厦门,0592,7680166,翔安区,新圩镇大帽山大景源农业开发有限公司办公楼,景点,自然风光,118.306646,24.750136
朝元观,福建,厦门,厦门,0592,130****2333,同安老城区/钟楼,环城北路210号,景点,人文古迹,118.148399,24.735348
港务集团和平旅游客运,福建,厦门,厦门,0592,2022516,中山路/轮渡,鹭江道3号,景点,旅行社,118.07809,24.44978
春秋旅行社,福建,厦门,厦门,0592,2028266,中山路/轮渡,新华路78号华建大厦,景点,旅行社,118.085519,24.456079
温馨天天游旅行社,福建,厦门,鼓浪屿,0592,2063410,鼓浪屿,鼓浪屿风景区鹿礁路12号B座二楼,景点,旅行社,118.073513,24.445103
厦门汇景国际旅行社,福建,厦门,厦门,0592,156****6036,禾祥西路沿线,厦禾路813号603室,景点,旅行社,118.097918,24.464988
旺海旅行社,福建,厦门,厦门,0592,2910400,火车站,万寿路14号,景点,旅行社,118.104,24.460044
风情旅行社,福建,厦门,厦门,0592,2962966,火车站,文屏路14号7F单元,景点,旅行社,118.105749,24.465304
海峡国际旅行社,福建,厦门,厦门,0592,5162391,莲坂/明发商业广场,湖滨南路388号国贸大厦1楼,景点,旅行社,118.121068,24.473843
厦门金厦假日旅行社有限公司,福建,厦门,厦门,0592,2917288,火车站,金榜路63号529室,景点,旅行社,118.109962,24.469154
国际航空港集团旅行社,福建,厦门,厦门,0592,5706181,高崎机场,高崎国际机场,景点,旅行社,118.132175,24.534565
兴良友旅行社,福建,厦门,厦门,0592,5827112,火车站,金榜路61-67号凯旋广场,景点,旅行社,118.11014,24.4688
港中旅国贸旅行社,福建,厦门,厦门,0592,5899018,环岛路沿线,梧村街道厦禾路820号帝豪大厦1101-1102号,景点,旅行社,118.104129,24.466742
光大国际旅行社,福建,厦门,厦门,0592,5698868,莲前大道/加州广场,莲前西路708号光大酒店2楼,景点,旅行社,118.14894,24.47635
国旅旅运服务,福建,厦门,厦门,0592,5962889,环岛路黄厝海滨浴场,塔头社187号,景点,旅行社,118.141169,24.433469
美好时光旅行社,福建,厦门,厦门,0592,4006592005,火车站,东坪二里自然家园148号103室,景点,旅行社,118.120583,24.468983
康辉国际旅行社,福建,厦门,厦门,0592,151****3414,市政府,湖滨北路118号振兴大厦13楼西北侧,景点,旅行社,118.09433,24.48002
厦门科技馆,福建,厦门,厦门,0592,5371522;5147666,体育路,体育路95号文化艺术中心,景点,科技馆,118.108208,24.49073
蔡复一故居,福建,厦门,厦门,0592,,同安老城区/钟楼,大同街道环城北路876号,景点,名人故居,118.155922,24.734388
怀旧鼓浪屿博物馆,福建,厦门,鼓浪屿,0592,2061555,鼓浪屿,鼓浪屿街道福建路62号,景点,博物馆,118.073517,24.446396
康佳游乐中心,福建,厦门,厦门,0592,,高林/万达广场,鹿礁路1号,景点,主题公园,118.177292,24.504744
演武大桥,福建,厦门,厦门,0592,,环岛路沿线,环岛路演武大桥,景点,城市观光,118.090935,24.433693
惠和石文化园,福建,厦门,厦门,0592,5908278;5518977,环岛路沿线,吕岭路忠仑公园,景点,文化公园,118.151138,24.487289
绿九洲爬虫世界,福建,厦门,厦门,0592,2087566,环岛路沿线,环岛路35号,景点,更多景点/周边游,118.14061,24.430344
驴妈妈旅游网,福建,厦门,厦门,0592,4006040616,中山路/轮渡,西二里二路160号之二,景点,旅行社,118.076,24.45215
海沧湾公园,福建,厦门,厦门,0592,,海沧商业圈,海沧大道,景点,公园/广场,118.050568,24.484312
曾厝垵文创村,福建,厦门,厦门,0592,2089787,环岛路沿线,国办路与环岛南路交叉口曾厝垵文创村,景点,古村古镇,118.125092,24.42518
环岛南路,福建,厦门,厦门,0592,,环岛路沿线,环岛南路,景点,步行街,118.142761,24.43178
黄厝海滨,福建,厦门,厦门,0592,131****0778,环岛路沿线,环岛南路黄厝海滨,景点,海滨沙滩,118.163422,24.443451
万丰旅行社,福建,厦门,厦门,0592,5180832;152****2651,火车站,厦禾路897号罗宾森广场楼上钻石阁18楼1806室,景点,旅行社,118.11412,24.469184
厦门海湾公园游乐场,福建,厦门,厦门,0592,5907909;152****9229,海湾公园,湖滨西路海湾公园北园,景点,游乐场,118.0765,24.474121
厦门铁路文化公园,福建,厦门,厦门,0592,,环岛路沿线,思明南路439号,景点,文化公园,118.086754,24.445089
幸福之旅国际旅行社,福建,厦门,厦门,0592,8586123,莲花,嘉禾路188号207室,景点,旅行社,118.128619,24.489029
福音堂,福建,厦门,厦门,0592,2072591,中山路/轮渡,思明东路139号,景点,宗教,118.083405,24.457655
黄荣远堂,福建,厦门,鼓浪屿,0592,6883070,鼓浪屿,福建路32号,景点,历史建筑,118.073139,24.443319
宝海堂,福建,厦门,厦门,0592,,环岛路黄厝海滨浴场,环岛路黄厝溪头下社,景点,更多景点/周边游,118.142128,24.42841
协和礼拜堂,福建,厦门,鼓浪屿,0592,,鼓浪屿,鹿礁路,景点,宗教,118.072456,24.444077
五缘湾湿地公园,福建,厦门,厦门,0592,5220888,五缘湾,汤屿路与五缘湾道交叉口北侧,景点,自然保护区,118.174904,24.51409
万里行国际旅行社,福建,厦门,厦门,0592,180****7957,体育中心,嘉禾路297号宝龙中心之二22楼L单元,景点,旅行社,118.127084,24.488494
机场旅游服务中心,福建,厦门,厦门,0592,5708273,高崎机场,翔云一路121号高崎机场,景点,旅行社,118.131508,24.53404
厦门万里行国际旅行社,福建,厦门,厦门,0592,5365600;189****1976,火车站,嘉禾路23号新景中心A栋2901室,景点,旅行社,118.120461,24.480384
齐行旅行,福建,厦门,厦门,0592,5166275;159****4486,五缘湾,泗水道万隆国际广场1101,景点,旅行社,118.188515,24.527534
厦门国际会展中心,福建,厦门,厦门,0592,5959898;5959209,环岛路沿线,会展路198号,景点,展览馆,118.183601,24.466999
诗巴丹潜水俱乐部,福建,厦门,厦门,0592,2043300;136****1227,环岛路沿线,前埔中路839号,景点,潜水,118.171514,24.475294
大嶝岛,福建,厦门,厦门,0592,5318858,大嶝岛,大嶝岛（近台湾商品市场）,景点,自然风光,118.329079,24.562988
崇仙宫,福建,厦门,厦门,0592,,莲花,莲花路,景点,历史建筑,118.13221,24.487137
纯真博物馆,福建,厦门,厦门,0592,,中山路/轮渡,华新路17号,景点,博物馆,118.08776,24.459371
厦门欣途旅行社,福建,厦门,厦门,0592,2527115,火车站,后埭溪路28号,景点,旅行社,118.10561,24.471662
不争公园,福建,厦门,厦门,0592,,莲坂/明发商业广场,东浦路与莲前西路交叉口东北100米,景点,公园/广场,118.130257,24.477757
龙山洞,福建,厦门,鼓浪屿,0592,,鼓浪屿,福州路黄聚德堂旁龙山洞隧道,景点,自然风光,118.069191,24.448025
君汝海滩,福建,厦门,鼓浪屿,0592,,鼓浪屿,鼓声路,景点,自然风光,118.06356,24.440577
最美转角,福建,厦门,鼓浪屿,0592,,鼓浪屿,鼓新路18号,景点,现代建筑,118.068214,24.449352
厦门方特梦幻王国,福建,厦门,厦门,0592,3873100;4001660006,同安区,石浔南路1111号,景点,主题乐园,118.174973,24.679506
启明寺,福建,厦门,厦门,0592,2091087,环岛路沿线,曾厝垵社405号,景点,宗教,118.124987,24.431997
中国国旅,福建,厦门,厦门,0592,5853000;5853008,火车站,东坪山路与站南路交叉口西南150米,景点,旅行社,118.120141,24.470044
海滨公园,福建,厦门,厦门,0592,133****0830,中山路/轮渡,鹭江厦门旅游客运码头海滨,景点,公园/广场,118.072212,24.456512
仙岳山福德正神庙,福建,厦门,厦门,0592,,湖里公园,仙岳路,景点,宗教,118.101448,24.49614
金嶝回归寺,福建,厦门,厦门,0592,,大嶝岛,X424与环嶝东路交叉口东南方向110米,景点,宗教,118.343796,24.556292
唯途旅行社,福建,厦门,厦门,0592,180****7270,江头,江头台湾街中段华永天地290号1515,景点,旅行社,118.133087,24.495167
古榕公园,福建,厦门,厦门,0592,,霞梧/北区,东林路199号,景点,公园/广场,118.109024,24.603903
鹭江夜游,福建,厦门,厦门,0592,2040118;2110871,中山路/轮渡,鹭江道3-116号（波赛东公司）,景点,城市观光,118.077332,24.450052
厦门博游旅行社有限公司,福建,厦门,厦门,0592,5353326,软件园,软件园二期观日路48号802,景点,旅行社,118.187003,24.483212
许斐平故居,福建,厦门,鼓浪屿,0592,,鼓浪屿,笔山路16号,景点,名人故居,118.064789,24.447182
建南大礼堂,福建,厦门,厦门,0592,,厦门大学,思明南路422号厦门大学,景点,景点/周边游,118.097839,24.434332
集美教堂,福建,厦门,厦门,0592,6222104,石鼓路/集美学村,浔江路179号,景点,宗教,118.105408,24.573973
集美烈士陵园,福建,厦门,厦门,0592,,云城万科里,侨英街道兑山社区,景点,烈士陵园,118.091431,24.606129
康辉国际,福建,厦门,厦门,0592,6669955,大学康城/杏林湾,文达路25号附13-1号,景点,旅行社,118.056321,24.563761
集美街道岑西社区文化室,福建,厦门,厦门,0592,,石鼓路/集美学村,岑东路71-73号,景点,展览馆,118.095628,24.571788
