名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
安徽省农业博物馆,安徽,合肥,合肥,0551,62618472;62652640,四牌楼/黄山大厦,徽州大道136号,景点,博物馆,117.286751,31.856792
店埠河公园,安徽,合肥,肥东县,0551,,店埠,沿河西路店埠河公园,景点,公园/广场,117.463928,31.88876
和平广场,安徽,合肥,合肥,0551,,和平路商业区,和平路,景点,广场,117.311089,31.858606
包河区环城公园,安徽,合肥,合肥,0551,62880712,三孝口/女人街,环城南路29号,景点,公园/广场,117.280228,31.853352
合肥市府广场,安徽,合肥,合肥,0551,,淮河路步行街,淮河路与徽州大道交口,景点,广场,117.286446,31.864475
合肥三国新城遗址公园,安徽,合肥,合肥,0551,65726163,庐阳区,三十岗乡公园路1号,景点,古代遗迹,117.131477,31.911304
天乐公园,安徽,合肥,合肥,0551,,大铺头,天乐路与天元路交口东南150米,景点,公园/广场,117.206131,31.850079
杏花公园,安徽,合肥,合肥,0551,62843790,城隍庙,淮河西路482号,景点,公园/广场,117.273384,31.869186
瑶海公园,安徽,合肥,合肥,0551,,瑶海公园,北二环路与武里山路交口西120米,景点,公园/广场,117.315643,31.892027
宝莲寺,安徽,合肥,合肥,0551,62648982,淮河路步行街,淮河路42号,景点,宗教,117.296593,31.864737
蔡塘水库,安徽,合肥,长丰县,0551,,北城世纪城,双墩蔡塘水库,景点,现代建筑,117.282066,32.032356
大城头遗址,安徽,合肥,长丰县,0551,,长丰县其他,阚集乡大程村,景点,古代遗迹,117.114851,32.221341
渡江战役总前委旧址纪念馆,安徽,合肥,肥东县,0551,67363135,肥东县其他,撮镇镇瑶岗社区,景点,革命旧址,117.456627,31.842583
翡翠湖,安徽,合肥,合肥,0551,,大学城,翡翠路合肥工业大学翡翠湖校区西门对面,景点,自然风光,117.193764,31.767132
鸡鸣山,安徽,合肥,合肥,0551,,蜀山区,南岗镇,景点,自然风光,117.088964,31.854434
龙城遗址,安徽,合肥,肥东县,0551,,肥东县其他,X023与六长路交叉路口往南约130米,景点,古代遗迹,117.565881,31.905811
庐州府城隍庙,安徽,合肥,合肥,0551,,城隍庙,霍邱路,景点,宗教,117.278069,31.863358
南淝河,安徽,合肥,合肥,0551,,十里庙,环湖东路,景点,自然风光,117.215683,31.856749
南艳湖,安徽,合肥,合肥,0551,,经开区,城区习友路与观海路交叉口,景点,自然风光,117.261803,31.76321
清真寺,安徽,合肥,合肥,0551,,淮河路步行街,寿春路35号,景点,宗教,117.297127,31.864954
三河太平军城垒,安徽,合肥,肥西县,0551,,三河古镇,三河镇三河太平军城垒,景点,人文古迹,117.249306,31.514215
蜀山湖,安徽,合肥,合肥,0551,,庐阳区,蜀山湖路,景点,自然风光,117.178719,31.894519
蜀山烈士陵园,安徽,合肥,合肥,0551,65321574,高新区,高新技术产业开发区玉兰大道87号,景点,烈士陵园,117.186188,31.839897
大蜀山森林公园,安徽,合肥,合肥,0551,65313400,高新区,高新技术产业开发区玉兰大道8号,景点,森林公园,117.170883,31.841581
天主教堂,安徽,合肥,合肥,0551,,三孝口/女人街,桐城路127号,景点,宗教,117.275215,31.858969
吴复墓石刻,安徽,合肥,肥东县,0551,,肥东县其他,萧圩乡享堂任村,景点,烈士陵园,117.463091,31.909148
吴王庙,安徽,合肥,长丰县,0551,,长丰县其他,吴山寺,景点,宗教,117.068207,32.066845
合肥野生动物园,安徽,合肥,合肥,0551,65395595,高新区,合肥高新技术产业开发区望江西路600号,景点,野生动物园,117.167892,31.835142
月潭庵,安徽,合肥,合肥,0551,62628030,三孝口/女人街,桐城路97号,景点,宗教,117.280901,31.854878
合肥植物园,安徽,合肥,合肥,0551,65339433,高新区,环湖东路123号,景点,植物园,117.202271,31.873138
紫蓬山国家森林公园,安徽,合肥,肥西县,0551,68582166,肥西县其他,紫蓬山管委会森林大道2号,景点,森林公园,117.009079,31.713394
