名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
康辉旅行社,天津,天津,天津,022,,永安道沿线,广东路金达园小区正门,景点,旅行社,117.212865,39.105665
中国旅行社,天津,天津,天津,022,27122210,和平路,山东路112号,景点,旅行社,117.20094,39.1239
天津科学技术馆,天津,天津,天津,022,28320315,文化中心,隆昌路94号,景点,展览馆,117.218346,39.087379
塘沽文化馆,天津,天津,天津,022,,塘沽城区,解放路1186号文化馆大厦1层,景点,美术馆,117.663071,39.020477
周恩来邓颖超纪念馆,天津,天津,天津,022,23592257;81110903,南开大学/八里台,水上公园西路9号,景点,纪念馆,117.164825,39.094268
宁园旅游景区,天津,天津,天津,022,26219890;138****3861,中山路,中山北路1号,景点,园林,117.213928,39.169994
长虹生态园,天津,天津,天津,022,,长虹公园,红旗路145号,景点,动植物园,117.152451,39.133976
金钢公园,天津,天津,天津,022,26353959,中山路,中山路286号,景点,城市公园,117.19191,39.150898
南开公园,天津,天津,天津,022,,南开公园/中学,南开二纬路113号,景点,公园/广场,117.168999,39.132568
人民公园,天津,天津,天津,022,23240371,下瓦房,徽州道29号,景点,城市公园,117.218147,39.105026
天津动物园,天津,天津,天津,022,60953922;23916111,水上/天塔,水上东路,景点,动物园,117.165337,39.082539
中山公园,天津,天津,天津,022,26213336,中山路,中山路,景点,公园/广场,117.203749,39.157171
潮音寺,天津,天津,天津,022,25311882,响螺湾商圈,大沽街道潮音寺后街西沽潮音寺大街增1号,景点,宗教,117.67083,38.98822
独乐寺,天津,天津,蓟州区,022,29142904;29142907,蓟县县城/国家地质公园,城内武定街41号,景点,宗教,117.403189,40.045666
黄崖关长城,天津,天津,蓟州区,022,22718106;22718080,黄崖关长城,津围线下营镇黄崖关村,景点,历史建筑,117.449097,40.247997
吉鸿昌故居,天津,天津,天津,022,85568253,和平路,花园路5号,景点,纪念馆,117.204903,39.123905
天津盘山风景名胜区,天津,天津,蓟州区,022,29821824;29828186,盘山风景名胜区,官庄镇盘山风景名胜区,景点,自然风光,117.282349,40.097172
西开天主教堂,天津,天津,天津,022,27811929,滨江道,西宁道9号,景点,宗教,117.194016,39.118088
大沽口炮台遗址博物馆,天津,天津,天津,022,25232288,滨海新区,东炮台路1号,景点,博物馆,117.710509,38.979482
天津博物馆,天津,天津,天津,022,83883000;83883001,文化中心,平江道62号,景点,博物馆,117.211815,39.084934
泰丰公园,天津,天津,天津,022,,经济开发区,泰华路与第四大街交口处,景点,公园/广场,117.711655,39.035572
桃花堤公园,天津,天津,天津,022,,本溪路/丁字沽,北运河南岸,景点,公园/广场,117.169495,39.182369
王串场公园,天津,天津,天津,022,,王串场/民权门,王串场街道幸福道与王串场5号路交口西侧,景点,公园/广场,117.226105,39.154476
北辰公园,天津,天津,天津,022,,北仓,京津公路,景点,公园/广场,117.130363,39.220451
杨连弟公园,天津,天津,天津,022,,北仓,高峰路,景点,公园/广场,117.139977,39.225586
天津热带植物观光园,天津,天津,天津,022,27919875;27948011,中北镇,中北镇飞霞路与阜锦道交口南100米,景点,植物园,117.094727,39.13781
中心公园,天津,天津,天津,022,23591242,和平路,花园路,景点,公园/广场,117.204391,39.124679
天津广播电视塔,天津,天津,天津,022,23343557;23343553,水上/天塔,卫津南路1号,景点,高空观景,117.181656,39.092995
土山公园,天津,天津,天津,022,,五大道,贵州路,景点,公园/广场,117.19355,39.107941
睦南公园,天津,天津,天津,022,,五大道,睦南道,景点,公园/广场,117.199738,39.107105
海河,天津,天津,天津,022,,小白楼,大直沽中路,景点,自然风光,117.214127,39.125401
紫云公园,天津,天津,天津,022,,新港,塘沽街道新港三号路与中央大道交口北30米,景点,公园/广场,117.686783,39.011593
天津水上公园,天津,天津,天津,022,23106033;23662596,水上/天塔,水上公园东路,景点,城市公园,117.167793,39.088982
望海山临潮湖,天津,天津,天津,022,,大港城区,大港街道学府路与迎宾街交口北侧,景点,公园/广场,117.460205,38.861767
杨柳青庄园,天津,天津,天津,022,27921666,杨柳青,杨柳青镇北津同公路20公里处,景点,更多景点/周边游,116.973953,39.155304
瓷房子,天津,天津,天津,022,27123366,滨江道,赤峰道72号,景点,博物馆,117.202316,39.124783
泰达航母主题公园,天津,天津,天津,022,67288899,滨海新区,汉北路269号,景点,文化公园,117.81321,39.155571
大亚国际旅行社,天津,天津,天津,022,27342321,老城厢/鼓楼,东门内大街鼓楼旅游超市2楼18-19号,景点,旅行社,117.185773,39.141573
望海楼教堂,天津,天津,天津,022,,中山路,狮子林大街292号,景点,宗教,117.195183,39.147774
安家大院,天津,天津,天津,022,,杨柳青,青远路与步行街交叉口西60米（近石家大院）,景点,历史建筑,117.009941,39.135399
津河,天津,天津,天津,022,,王顶堤/华苑,红旗路与复康路交口王顶堤立交桥下,景点,自然风光,117.15107,39.099648
三源电力旅行社,天津,天津,天津,022,88239536,围堤道沿线,围堤道146号华盛广场A座15楼,景点,旅行社,117.210014,39.097943
天津国展中心,天津,天津,天津,022,28012999,宾西,友谊路街道友谊路32号平江道与宾水道间,景点,展览馆,117.204514,39.084785
天子津渡遗址公园,天津,天津,天津,022,,大胡同/天津之眼,河北大街与南运河北路交口东南30米,景点,公园/广场,117.183945,39.150154
滨海新区博物馆,天津,天津,天津,022,25862720,塘沽城区,塘沽中心路998-1号河滨公园内,景点,博物馆,117.64798,39.010708
河滨公园,天津,天津,天津,022,,塘沽城区,中心路988号,景点,公园/广场,117.64772,39.013142
中共北方局旧址纪念馆,天津,天津,天津,022,27115679,滨江道,黑龙江路隆泰里19号,景点,纪念馆,117.204536,39.129967
义和团吕祖堂坛口遗址,天津,天津,天津,022,27573656,芥园道/复兴路,如意庵大街何家胡同18号,景点,古代遗迹,117.158035,39.14613
海津大桥公园,天津,天津,天津,022,,尖山,海津大桥西北角,景点,公园/广场,117.249037,39.080138
中山门公园,天津,天津,天津,022,,中山门,中山门街道互助西里,景点,公园/广场,117.264259,39.106342
康辉旅行社,天津,天津,天津,022,,老城厢/鼓楼,鼓楼东街62号鼓楼旅游超市2楼,景点,旅行社,117.185811,39.141671
集贤公园,天津,天津,天津,022,,北仓,集贤道,景点,公园/广场,117.131538,39.229916
集贤道夜市,天津,天津,天津,022,,北仓,集贤道,景点,夜市,117.130219,39.228706
翔宇公园,天津,天津,天津,022,,南开公园/中学,二纬路与三马路交口处,景点,公园/广场,117.173477,39.131859
泥人张美术馆,天津,天津,天津,022,178****6618,大胡同/天津之眼,古文化街通庆里4号,景点,美术馆,117.19194,39.144951
南市食品街,天津,天津,天津,022,27270198,南市,慎益大街1区15号,景点,步行街,117.184052,39.132919
太平寨,天津,天津,蓟州区,022,,黄崖关长城,黄崖关东南1公里小平安村,景点,人文古迹,117.458939,40.246159
塘沽基督教会,天津,天津,天津,022,,老城厢/鼓楼,城厢中路与鼓楼东街交叉口东北方向110米,景点,宗教,117.183533,39.141632
金龙旅行社,天津,天津,天津,022,27055555,老城厢/鼓楼,城厢东路鼓楼旅游超市二楼,景点,旅行社,117.185964,39.141627
天津中信国际旅行社有限公司,天津,天津,天津,022,23161799,老城厢/鼓楼,鼓楼城厢东路旅游超市2层,景点,旅行社,117.185805,39.141565
中华石园,天津,天津,天津,022,188****5688,津南区,南兴道280号（环美酒店旁）,景点,公园/广场,117.276993,39.042049
桥园公园,天津,天津,天津,022,84736952,程林,天山路与盘山道交叉口西北50米,景点,公园/广场,117.272812,39.143417
海门园,天津,天津,天津,022,,塘沽城区,海门大桥北端,景点,更多景点/周边游,117.656395,39.013443
