名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
玉泉山庄,江苏,无锡,无锡,0510,,蠡园/太湖景区,大浮镇漆塘路7号,景点,更多景点/周边游,120.243614,31.508055
梁溪体育公园,江苏,无锡,无锡,0510,81081993,五爱路,迎龙桥街道健康路105号,景点,公园/广场,120.298904,31.565897
运河公园,江苏,无锡,无锡,0510,,永定桥,江尖大桥下运河东路旁,景点,公园/广场,120.286552,31.585257
青山公园,江苏,无锡,无锡,0510,85865606,河埒口,青山路15号,景点,公园/广场,120.257919,31.573793
清扬公园,江苏,无锡,无锡,0510,,清扬路,清名桥街道清扬路101号太湖广场南广场,景点,公园/广场,120.306923,31.551443
二泉公园,江苏,无锡,无锡,0510,,锡惠路,盛岸中路211号,景点,公园/广场,120.266388,31.593231
无锡市梅园公园,江苏,无锡,无锡,0510,85517197;85511676,梅园,梁溪西路卞家湾13号,景点,园林,120.223015,31.551886
灵山胜境禅意度假风景区,江苏,无锡,无锡,0510,85688631;4001680303,灵山/拈花湾景区,马山太湖国家旅游度假区灵山路1号,景点,更多景点/周边游,120.100762,31.426896
蠡园,江苏,无锡,无锡,0510,85101380,蠡园/太湖景区,环湖路7号,景点,园林,120.258408,31.517885
鼋头渚,江苏,无锡,无锡,0510,96889688,蠡园/太湖景区,鼋渚路1号,景点,自然风光,120.220856,31.5221
无锡影视基地水浒城,江苏,无锡,无锡,0510,85555219,蠡园/太湖景区,山水西路108号,景点,影视基地,120.236412,31.484076
中视影视基地影迷俱乐部,江苏,无锡,无锡,0510,85550117,蠡园/太湖景区,唐城中视影视基地总部,景点,影视基地,120.247253,31.506599
善卷洞风景区,江苏,无锡,宜兴,0510,87394859,善卷洞,张渚镇善卷村,景点,自然风光,119.669365,31.298662
无锡基督教堂,江苏,无锡,无锡,0510,82720149,中山路/恒隆广场,中山路130号,景点,宗教,120.303955,31.571135
昭嗣堂,江苏,无锡,无锡,0510,,新吴区,孙安路,景点,历史建筑,120.452334,31.452654
龙寺生态园户外拓展基地,江苏,无锡,无锡,0510,83700199;181****0555,蠡园/太湖景区,雪浪街道太湖山水城旅游度假区军嶂村盘龙路,景点,动植物园,120.231026,31.443342
顾毓琇故居,江苏,无锡,无锡,0510,82708948,中山路/恒隆广场,崇安寺街道学前街3号（近八佰伴）,景点,纪念馆,120.302086,31.570475
富康生态园,江苏,无锡,无锡,0510,,玉祁,玉祁镇礼舍村,景点,植物园,120.168558,31.705347
华西村,江苏,无锡,江阴,0510,86216311;86216114,华士镇,华士镇华西村金塔路210号（近江高速华西出口）,景点,特色乡村,120.431298,31.831532
无锡惠山寺,江苏,无锡,无锡,0510,83039899,锡惠路,惠山街道上河塘8号,景点,宗教,120.269402,31.57962
薛福成故居,江苏,无锡,无锡,0510,82733829;82724706,中山路/恒隆广场,学前街152号,景点,名人故居,120.295883,31.571068
