名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
昆明市博物馆,云南,昆明,昆明,0871,63153359;63153256,董家湾,拓东路93号,景点,博物馆,102.728462,25.032497
云南省博物馆,云南,昆明,昆明,0871,67286223;67286863,官渡古镇,广福路6393号,景点,博物馆,102.753532,24.949408
昆明动物园,云南,昆明,昆明,0871,63518800;65197445,圆通山,青年路92号,景点,动物园,102.710411,25.053686
宝海公园,云南,昆明,昆明,0871,63512927,关上,宝海路121号,景点,公园/广场,102.736481,25.014385
金马碧鸡坊,云南,昆明,昆明,0871,138****3304,南屏步行街,正义路与金碧路交汇处,景点,历史建筑,102.70974,25.033392
翠湖公园,云南,昆明,昆明,0871,65318808,翠湖公园,翠湖南路67号,景点,城市公园,102.703911,25.048548
海埂公园,云南,昆明,昆明,0871,64311627;64315053,海埂,滇池路1318号,景点,城市公园,102.659668,24.960024
昆明市黑龙潭公园,云南,昆明,昆明,0871,65886882,云南农业大学,北郊蓝桉路1号,景点,城市公园,102.750961,25.14163
郊野公园,云南,昆明,昆明,0871,,五华区,黑林铺镇,景点,城市公园,102.624664,25.069857
陆军讲武堂旧址,云南,昆明,昆明,0871,65395952,翠湖公园,翠湖西路22号,景点,纪念地,102.700645,25.047874
昆明植物园,云南,昆明,昆明,0871,65223628,云南农业大学,篮黑路132号斜对面,景点,植物园,102.742393,25.138391
圆通禅寺,云南,昆明,昆明,0871,65193762,圆通山,华山街道圆通街30号,景点,宗教,102.711861,25.051477
云南民族村,云南,昆明,昆明,0871,64311255;68279327,海埂,滇池路1310号,景点,民俗文化村,102.660759,24.965775
九乡旅游区,云南,昆明,宜良县,0871,67511966;67511998,宜良县其他,九乡彝族回族乡境内,景点,自然风光,103.387009,25.077381
西游洞风景区,云南,昆明,昆明,0871,68400888,五华区,昆禄公路天生桥,景点,自然风光,102.641068,25.13982
顺城清真寺,云南,昆明,昆明,0871,63635781,南屏步行街,顺城巷,景点,宗教,102.705193,25.036139
