名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
陨石山自然保护区,辽宁,沈阳,沈阳,024,,浑南区,李相镇至姚千户镇,景点,自然风光,123.612121,41.646631
棋盘山水库,辽宁,沈阳,沈阳,024,86898138,浑南区,103省道,景点,现代建筑,123.671288,41.951065
将军公园,辽宁,沈阳,沈阳,024,,北陵,北陵大街,景点,公园/广场,123.432915,41.834457
护国法轮寺,辽宁,沈阳,沈阳,024,,北陵,北塔街27号,景点,宗教,123.451363,41.830269
辽宁美术馆,辽宁,沈阳,沈阳,024,23848981,南湖公园/三好街,彩塔街38号工业展览馆,景点,美术馆,123.432838,41.773949
鲁迅美术学院-美术馆,辽宁,沈阳,沈阳,024,23930124,南湖公园/三好街,彩塔街27号,景点,美术馆,123.43206,41.776787
长安寺,辽宁,沈阳,沈阳,024,24847440,中街/故宫,朝阳街长安寺巷6号,景点,宗教,123.461632,41.803265
百鸟公园,辽宁,沈阳,沈阳,024,,北行/辽大,崇山中路66号辽宁大学对面,景点,公园/广场,123.402397,41.82967
般若寺,辽宁,沈阳,沈阳,024,24812434,五爱市场,大南街般若寺巷8号,景点,宗教,123.459312,41.782444
慈恩寺,辽宁,沈阳,沈阳,024,24130182,五爱市场,大南街慈恩寺巷12号,景点,宗教,123.460541,41.783482
太平寺,辽宁,沈阳,沈阳,024,,西塔/北市场,皇寺路178巷2号,景点,宗教,123.426277,41.807926
中共满洲省委旧址,辽宁,沈阳,沈阳,024,22724485,北站/市府,皇寺路福安巷3号,景点,革命旧址,123.424789,41.807899
青年公园,辽宁,沈阳,沈阳,024,23892220,奉天街沿线,风雨坛街道青年大街111号（近文艺路）,景点,公园/广场,123.439804,41.781384
建设公园,辽宁,沈阳,沈阳,024,,重工街沿线,肇工北街与阔业路交叉口东北150米,景点,公园/广场,123.33757,41.806183
沈阳国家森林公园,辽宁,沈阳,沈阳,024,89778333,沈北新区,马刚街道老寺沟,景点,森林公园,123.723366,42.021481
辉山风景区,辽宁,沈阳,沈阳,024,88750531,浑南区,满堂街道辉山风景区内（东站）,景点,自然风光,123.654318,41.926968
体育公园,辽宁,沈阳,沈阳,024,,太原街,南3马路61号,景点,公园/广场,123.402771,41.783401
中山公园,辽宁,沈阳,沈阳,024,23456010,太原街,南三马路与和平南大街交叉口,景点,公园/广场,123.406219,41.785511
沈水湾公园,辽宁,沈阳,沈阳,024,,浑南新区,沈水湾街道沈水路589号,景点,公园/广场,123.423317,41.749535
长青公园,辽宁,沈阳,沈阳,024,24214361,长青街,泉园二路85号,景点,公园/广场,123.479088,41.772305
八一公园,辽宁,沈阳,沈阳,024,22829632,西塔/北市场,三纬路18号,景点,公园/广场,123.424568,41.802353
仙女湖公园,辽宁,沈阳,沈阳,024,,重工街沿线,沈辽西路与卫工南街交汇处,景点,公园/广场,123.336967,41.778168
辉山水库,辽宁,沈阳,沈阳,024,,大东区,沈铁公路,景点,现代建筑,123.515617,41.86161
无垢净光舍利塔,辽宁,沈阳,沈阳,024,,塔湾,塔湾街15巷45号,景点,历史建筑,123.380493,41.835125
克俭公园,辽宁,沈阳,沈阳,024,,皇姑区,阿里山路8号,景点,公园/广场,123.404953,41.809799
万柳塘公园,辽宁,沈阳,沈阳,024,24144259,文艺路/文化路,万莲街道先农坛路17巷,景点,公园/广场,123.46479,41.780502
南塔公园,辽宁,沈阳,沈阳,024,,文艺路/文化路,南塔街道文萃路（近文萃苑）,景点,公园/广场,123.4533,41.765816
朱尔水库,辽宁,沈阳,沈阳,024,,大东区,文官街道先进街与文东街交叉口东北50米,景点,自然景观,123.492057,41.889797
