名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
苏州碑刻博物馆,江苏,苏州,苏州,0512,65168070,十全街/凤凰街,人民路613号苏州文庙内,景点,博物馆,120.623734,31.294676
常熟市博物馆,江苏,苏州,常熟,0512,52776855,虞景文华,北门大街1号,景点,博物馆,120.740494,31.646818
高仁岐油画艺术馆,江苏,苏州,太仓,0512,53566428;53560308,五洋广场/世纪广场,柳州路35号,景点,美术馆,121.12233,31.448402
太仓市博物馆,江苏,苏州,太仓,0512,53890911,太仓万达,城厢镇上海东路100号,景点,博物馆,121.133141,31.456907
吴江博物馆,江苏,苏州,吴江,0512,63486091,松陵,笠泽路450号,景点,博物馆,120.636063,31.153833
张家港博物馆,江苏,苏州,张家港,0512,58688609,城西,杨舍镇暨阳西路2号,景点,博物馆,120.531731,31.872658
苏州旅行社,江苏,苏州,苏州,0512,67202102,桃花坞,平四路4号,景点,旅行社,120.615402,31.326813
青年旅行社旅行天下,江苏,苏州,苏州,0512,65308989,十全街/凤凰街,竹辉路278号青旅大楼6层,景点,旅行社,120.63515,31.293668
永安国际旅行社,江苏,苏州,苏州,0512,68269191,三香路沿线,三香路华侨饭店内,景点,旅行社,120.601425,31.29952
苏州中国国际旅行社有限责任公司,江苏,苏州,苏州,0512,65223783,观前街地区,大井巷9胜广场,景点,旅行社,120.622948,31.309298
中国康辉苏州国际旅行社有限公司,江苏,苏州,苏州,0512,65301538,十全街/凤凰街,凤凰街60号,景点,旅行社,120.627552,31.297422
虎丘山风景名胜区,江苏,苏州,苏州,0512,65893726;67232305,虎丘景区,虎丘山门内8号,景点,园林,120.580292,31.334414
黎里柳亚子纪念馆,江苏,苏州,吴江,0512,63616852,黎里,黎里镇中心街75号,景点,纪念馆,120.711349,30.989206
留园,江苏,苏州,苏州,0512,65579466;65337903,留园/来客茂生活广场,阊门外留园路338号,景点,园林,120.59256,31.315439
拙政园,江苏,苏州,苏州,0512,962015,拙政园,东北街178号,景点,园林,120.628761,31.324177
天平山风景名胜区,江苏,苏州,苏州,0512,66261382;66387422,木渎地区,灵天路,景点,自然风光,120.504158,31.287313
苏州国际博览中心,江苏,苏州,苏州,0512,62580111,博览中心,苏州工业园区唯亭街道苏州大道东688号,景点,更多景点/周边游,120.707369,31.323763
苏州公园,江苏,苏州,苏州,0512,65233549;65215970,十全街/凤凰街,民治路258号,景点,公园/广场,120.627731,31.304705
山塘街,江苏,苏州,苏州,0512,65314467,山塘街,山塘街177号,景点,步行街,120.601662,31.317909
松陵公园,江苏,苏州,吴江,0512,63416128,松陵,松陵镇公园路,景点,公园/广场,120.6464,31.158167
吴江公园,江苏,苏州,吴江,0512,,松陵,松陵街道笠泽路666号,景点,公园/广场,120.634354,31.155289
