名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
长沙简牍博物馆,湖南,长沙,长沙,0731,85425680;85425676,天心阁/白沙井,白沙路92号,景点,博物馆,112.983139,28.184862
中国花炮文化博物馆,湖南,长沙,浏阳,0731,83809333,大瑶镇,花炮北路与思邈路交叉口南200米路东,景点,博物馆,113.725388,27.990294
天心公园,湖南,长沙,长沙,0731,82222404,天心阁/白沙井,天心路88号,景点,公园/广场,112.98175,28.184631
晓园公园,湖南,长沙,长沙,0731,82297258,袁家岭/火车站,五一大道70号,景点,公园/广场,113.008385,28.19507
紫凤公园,湖南,长沙,长沙,0731,84481649,伍家岭/开福寺,新河路69号,景点,公园/广场,112.976494,28.226225
南郊公园,湖南,长沙,长沙,0731,85413219,新开铺,南二环二段442号,景点,森林公园,112.965614,28.140978
星沙公园,湖南,长沙,长沙县,0731,,长沙经济技术开发区,星沙经济技术开发区金茂路3号,景点,公园/广场,113.075249,28.236176
湖南烈士公园,湖南,长沙,长沙,0731,84556766,开福区,东风路22号,景点,烈士陵园,112.99971,28.21003
八路军驻湘通讯处旧址,湖南,长沙,长沙,0731,82227830,芙蓉广场,蔡锷中路徐祠巷19号,景点,古代遗迹,112.981613,28.197769
湖南民俗文化村,湖南,长沙,长沙,0731,82186897,梦泽园,车站北路465号湖南烈士公园,景点,古村古镇,113.007149,28.211872
橘子洲景区,湖南,长沙,长沙,0731,88882152,橘子洲公园,橘子洲景区,景点,自然风光,112.963089,28.19655
古开福寺,湖南,长沙,长沙,0731,84485300,伍家岭/开福寺,开福寺路52号,景点,宗教,112.978333,28.224369
长沙世界之窗,湖南,长沙,长沙,0731,84256888;84256733,月湖公园/长沙大学,三一大道485号,景点,主题乐园,113.054892,28.236702
黄兴墓,湖南,长沙,长沙,0731,88825058,河西大学城,登高路58号岳麓山国家重点风景名胜区内,景点,古代遗迹,112.931946,28.180494
古麓山寺,湖南,长沙,长沙,0731,88825011,河西大学城,麓山路82岳麓山风景名胜区,景点,宗教,112.934364,28.180302
新民学会成立会旧址,湖南,长沙,长沙,0731,88883401,溁湾镇/新外滩,望月湖街道新民路周家巷2号,景点,古代遗迹,112.952286,28.193447
贾谊故居,湖南,长沙,长沙,0731,84456156;82272799,五一广场,太平街28号,景点,纪念馆,112.971992,28.192659
湖南雷锋纪念馆,湖南,长沙,长沙,0731,88107959;88165506,望城区,振兴路42号,景点,纪念馆,112.845161,28.20384
长沙海底世界,湖南,长沙,长沙,0731,84256005;84256002,月湖公园/长沙大学,三一大道501号,景点,海洋馆,113.055726,28.232149
石燕湖,湖南,长沙,长沙,0731,86968065;89569049,雨花区,石燕铺石燕湖景区,景点,自然风光,113.085892,28.01355
陈天华和姚宏业墓,湖南,长沙,长沙,0731,88825058,河西大学城,登高路58号岳麓山国家重点风景名胜区内,景点,古代遗迹,112.934914,28.181381
云麓宫,湖南,长沙,长沙,0731,88825011,河西大学城,登高路58号岳麓山国家重点风景名胜区内,景点,历史建筑,112.933884,28.177353
蟒蛇洞,湖南,长沙,长沙,0731,88825011,河西大学城,登高路58号,景点,自然风光,112.936707,28.185368
五轮塔,湖南,长沙,长沙,0731,88825011,河西大学城,岳麓山风景名胜区麓山景区,景点,历史建筑,112.939919,28.179226
岳麓山风景名胜区,湖南,长沙,长沙,0731,88825011,河西大学城,登高路58号,景点,自然风光,112.936752,28.183702
岳麓书院,湖南,长沙,长沙,0731,88823764,河西大学城,麓山路273号,景点,古代遗迹,112.940826,28.180407
长沙红星国际会展中心,湖南,长沙,长沙,0731,85881088,红星国际会展中心,中意一路492号,景点,展览馆,113.013489,28.106745
萧朝贵阵亡处,湖南,长沙,长沙,0731,,南门口,劳动西路133号附近,景点,更多景点/周边游,112.974983,28.178486
天心阁,湖南,长沙,长沙,0731,85155379,天心阁/白沙井,天心路17号,景点,古代遗迹,112.98143,28.183735
白沙古井,湖南,长沙,长沙,0731,88666280,天心阁/白沙井,白沙路贺龙体育中心旁,景点,人文古迹,112.98053,28.179068
桃子湖,湖南,长沙,长沙,0731,,河西大学城,桔子洲街道湖南师范大学校门处（湖南师范大学附中旁）,景点,自然风光,112.95237,28.181477
梅公馆旧址,湖南,长沙,长沙,0731,,人民西路口,学宫门正街23号,景点,古代遗迹,112.970932,28.185789
月湖公园,湖南,长沙,长沙,0731,88873787,月湖公园/长沙大学,万家丽北路与三一大道交汇处西北角（近长沙学院正南面）,景点,城市公园,113.033257,28.236973
湖南省植物园,湖南,长沙,长沙,0731,85233238,天际岭,植物园路111号,景点,植物园,113.03215,28.103121
湖南省展览馆,湖南,长沙,长沙,0731,82225259,松桂园,营盘东路19号,景点,展览馆,112.989433,28.204706
杜甫江阁,湖南,长沙,长沙,0731,89824455,黄兴路步行街,湘江中路108号,景点,现代建筑,112.968636,28.184418
灰汤华天城温泉,湖南,长沙,宁乡市,0731,87456888,灰汤温泉镇,灰汤镇华天路1号华天城温泉度假酒店,景点,温泉,112.357376,27.980362
湘江风光带,湖南,长沙,长沙,0731,85579792,劳动广场/书院路,坡子街街道白沙路,景点,更多景点/周边游,112.968117,28.179171
